Positvity measure (%),Split,Provider country,Mode of study,Level of study,Subject,Question Number,Responses
81,European Union,UK,All modes,All undergraduates,Veterinary sciences,Theme 3: Assessment and feedback,39.5
91.1,European Union,UK,All modes,All undergraduates,Veterinary sciences,Theme 4: Academic support,39.5
73.4,European Union,UK,All modes,All undergraduates,Veterinary sciences,Theme 5: Organisation and management,39.5
89.9,European Union,UK,All modes,All undergraduates,Veterinary sciences,Theme 6: Learning resources,39.5
86.6,European Union,UK,All modes,All undergraduates,Veterinary sciences,Theme 7: Student voice,38.5
81.4,European Union,UK,All modes,All undergraduates,"Agriculture, food and related studies",Theme 1: Teaching on my course,100.9
80.5,European Union,UK,All modes,All undergraduates,"Agriculture, food and related studies",Theme 2: Learning opportunities,100.9
79.1,European Union,UK,All modes,All undergraduates,"Agriculture, food and related studies",Theme 3: Assessment and feedback,100.9
86.9,European Union,UK,All modes,All undergraduates,"Agriculture, food and related studies",Theme 4: Academic support,100.9
77.6,European Union,UK,All modes,All undergraduates,"Agriculture, food and related studies",Theme 5: Organisation and management,100.9
87.5,European Union,UK,All modes,All undergraduates,"Agriculture, food and related studies",Theme 6: Learning resources,100.9
77.6,European Union,UK,All modes,All undergraduates,"Agriculture, food and related studies",Theme 7: Student voice,100.9
86.3,European Union,UK,All modes,All undergraduates,Physical sciences,Theme 1: Teaching on my course,513.3
81.2,European Union,UK,All modes,All undergraduates,Physical sciences,Theme 2: Learning opportunities,513.3
71.7,European Union,UK,All modes,All undergraduates,Physical sciences,Theme 3: Assessment and feedback,512.3
89.9,European Union,UK,All modes,All undergraduates,Physical sciences,Theme 4: Academic support,512.3
75.2,European Union,UK,All modes,All undergraduates,Physical sciences,Theme 5: Organisation and management,511.3
89.7,European Union,UK,All modes,All undergraduates,Physical sciences,Theme 6: Learning resources,512.3
73.9,European Union,UK,All modes,All undergraduates,Physical sciences,Theme 7: Student voice,509.8
81.6,European Union,UK,All modes,All undergraduates,Mathematical sciences,Theme 1: Teaching on my course,301.1
81.1,European Union,UK,All modes,All undergraduates,Mathematical sciences,Theme 2: Learning opportunities,301.1
75.8,European Union,UK,All modes,All undergraduates,Mathematical sciences,Theme 3: Assessment and feedback,301.1
88.5,European Union,UK,All modes,All undergraduates,Mathematical sciences,Theme 4: Academic support,301.1
81,European Union,UK,All modes,All undergraduates,Mathematical sciences,Theme 5: Organisation and management,301.1
89.6,European Union,UK,All modes,All undergraduates,Mathematical sciences,Theme 6: Learning resources,300.1
76.6,European Union,UK,All modes,All undergraduates,Mathematical sciences,Theme 7: Student voice,300.1
82.9,European Union,UK,All modes,All undergraduates,Engineering and technology,Theme 1: Teaching on my course,1161.1
81,European Union,UK,All modes,All undergraduates,Engineering and technology,Theme 2: Learning opportunities,1160.1
70.5,European Union,UK,All modes,All undergraduates,Engineering and technology,Theme 3: Assessment and feedback,1159.1
86,European Union,UK,All modes,All undergraduates,Engineering and technology,Theme 4: Academic support,1155.1
74.3,European Union,UK,All modes,All undergraduates,Engineering and technology,Theme 5: Organisation and management,1158.1
88.5,European Union,UK,All modes,All undergraduates,Engineering and technology,Theme 6: Learning resources,1160.1
73.9,European Union,UK,All modes,All undergraduates,Engineering and technology,Theme 7: Student voice,1153.8
79,European Union,UK,All modes,All undergraduates,Computing,Theme 1: Teaching on my course,1278.9
76.1,European Union,UK,All modes,All undergraduates,Computing,Theme 2: Learning opportunities,1277.9
72.3,European Union,UK,All modes,All undergraduates,Computing,Theme 3: Assessment and feedback,1276.9
84.2,European Union,UK,All modes,All undergraduates,Computing,Theme 4: Academic support,1273.9
71.6,European Union,UK,All modes,All undergraduates,Computing,Theme 5: Organisation and management,1275.9
87,European Union,UK,All modes,All undergraduates,Computing,Theme 6: Learning resources,1273.9
74.4,European Union,UK,All modes,All undergraduates,Computing,Theme 7: Student voice,1269.3
88,European Union,UK,All modes,All undergraduates,"Architecture, building and planning",Theme 1: Teaching on my course,399.1
82.2,European Union,UK,All modes,All undergraduates,"Architecture, building and planning",Theme 2: Learning opportunities,399.1
77.3,European Union,UK,All modes,All undergraduates,"Architecture, building and planning",Theme 3: Assessment and feedback,399.1
87.3,European Union,UK,All modes,All undergraduates,"Architecture, building and planning",Theme 4: Academic support,399.1
70.5,European Union,UK,All modes,All undergraduates,"Architecture, building and planning",Theme 5: Organisation and management,399.1
85.9,European Union,UK,All modes,All undergraduates,"Architecture, building and planning",Theme 6: Learning resources,399.1
75.7,European Union,UK,All modes,All undergraduates,"Architecture, building and planning",Theme 7: Student voice,398.1
85,European Union,UK,All modes,All undergraduates,Social sciences,Theme 1: Teaching on my course,1881.5
79.9,European Union,UK,All modes,All undergraduates,Social sciences,Theme 2: Learning opportunities,1880.5
73.4,European Union,UK,All modes,All undergraduates,Social sciences,Theme 3: Assessment and feedback,1879.5
87.7,European Union,UK,All modes,All undergraduates,Social sciences,Theme 4: Academic support,1878.5
77,European Union,UK,All modes,All undergraduates,Social sciences,Theme 5: Organisation and management,1879.5
88.6,European Union,UK,All modes,All undergraduates,Social sciences,Theme 6: Learning resources,1877.7
73.5,European Union,UK,All modes,All undergraduates,Social sciences,Theme 7: Student voice,1862.2
86.4,European Union,UK,All modes,All undergraduates,Law,Theme 1: Teaching on my course,790
80.2,European Union,UK,All modes,All undergraduates,Law,Theme 2: Learning opportunities,790
73.2,European Union,UK,All modes,All undergraduates,Law,Theme 3: Assessment and feedback,790
86.7,European Union,UK,All modes,All undergraduates,Law,Theme 4: Academic support,790
79.3,European Union,UK,All modes,All undergraduates,Law,Theme 5: Organisation and management,790
89.9,European Union,UK,All modes,All undergraduates,Law,Theme 6: Learning resources,790
71.7,European Union,UK,All modes,All undergraduates,Law,Theme 7: Student voice,782.5
81.8,European Union,UK,All modes,All undergraduates,Business and management,Theme 1: Teaching on my course,3529.6
82.4,European Union,UK,All modes,All undergraduates,Business and management,Theme 2: Learning opportunities,3529.6
77.2,European Union,UK,All modes,All undergraduates,Business and management,Theme 3: Assessment and feedback,3529.6
86.1,European Union,UK,All modes,All undergraduates,Business and management,Theme 4: Academic support,3524.6
81.1,European Union,UK,All modes,All undergraduates,Business and management,Theme 5: Organisation and management,3529.6
89.1,European Union,UK,All modes,All undergraduates,Business and management,Theme 6: Learning resources,3519.2
77.5,European Union,UK,All modes,All undergraduates,Business and management,Theme 7: Student voice,3507.2
88.8,European Union,UK,All modes,All undergraduates,Language and area studies,Theme 1: Teaching on my course,653.6
83.3,European Union,UK,All modes,All undergraduates,Language and area studies,Theme 2: Learning opportunities,653.6
79.9,European Union,UK,All modes,All undergraduates,Language and area studies,Theme 3: Assessment and feedback,653.6
90.4,European Union,UK,All modes,All undergraduates,Language and area studies,Theme 4: Academic support,652.4
76.9,European Union,UK,All modes,All undergraduates,Language and area studies,Theme 5: Organisation and management,652.6
89.1,European Union,UK,All modes,All undergraduates,Language and area studies,Theme 6: Learning resources,652.4
77.2,European Union,UK,All modes,All undergraduates,Language and area studies,Theme 7: Student voice,651.3
91.1,European Union,UK,All modes,All undergraduates,"Historical, philosophical and religious studies",Theme 1: Teaching on my course,461.3
83.6,European Union,UK,All modes,All undergraduates,"Historical, philosophical and religious studies",Theme 2: Learning opportunities,461.3
78.5,European Union,UK,All modes,All undergraduates,"Historical, philosophical and religious studies",Theme 3: Assessment and feedback,461.3
91.6,European Union,UK,All modes,All undergraduates,"Historical, philosophical and religious studies",Theme 4: Academic support,461.3
78.3,European Union,UK,All modes,All undergraduates,"Historical, philosophical and religious studies",Theme 5: Organisation and management,460.3
88.9,European Union,UK,All modes,All undergraduates,"Historical, philosophical and religious studies",Theme 6: Learning resources,461.3
75.6,European Union,UK,All modes,All undergraduates,"Historical, philosophical and religious studies",Theme 7: Student voice,459
86.8,European Union,UK,All modes,All undergraduates,Education and teaching,Theme 1: Teaching on my course,98
86.4,European Union,UK,All modes,All undergraduates,Education and teaching,Theme 2: Learning opportunities,98
86,European Union,UK,All modes,All undergraduates,Education and teaching,Theme 3: Assessment and feedback,98
91.5,European Union,UK,All modes,All undergraduates,Education and teaching,Theme 4: Academic support,97
78,European Union,UK,All modes,All undergraduates,Education and teaching,Theme 5: Organisation and management,98
89.2,European Union,UK,All modes,All undergraduates,Education and teaching,Theme 6: Learning resources,98
78.3,European Union,UK,All modes,All undergraduates,Education and teaching,Theme 7: Student voice,98
83.8,European Union,UK,All modes,All undergraduates,Combined and general studies,Theme 1: Teaching on my course,140.8
81.8,European Union,UK,All modes,All undergraduates,Combined and general studies,Theme 2: Learning opportunities,140.8
76.9,European Union,UK,All modes,All undergraduates,Combined and general studies,Theme 3: Assessment and feedback,140.8
88.3,European Union,UK,All modes,All undergraduates,Combined and general studies,Theme 4: Academic support,140.8
73.3,European Union,UK,All modes,All undergraduates,Combined and general studies,Theme 5: Organisation and management,140.8
87,European Union,UK,All modes,All undergraduates,Combined and general studies,Theme 6: Learning resources,140.8
77.5,European Union,UK,All modes,All undergraduates,Combined and general studies,Theme 7: Student voice,139.3
76.8,European Union,UK,All modes,All undergraduates,"Media, journalism and communications",Theme 1: Teaching on my course,553.6
74.3,European Union,UK,All modes,All undergraduates,"Media, journalism and communications",Theme 2: Learning opportunities,553.6
75.2,European Union,UK,All modes,All undergraduates,"Media, journalism and communications",Theme 3: Assessment and feedback,553.6
86.2,European Union,UK,All modes,All undergraduates,"Media, journalism and communications",Theme 4: Academic support,552.6
68,European Union,UK,All modes,All undergraduates,"Media, journalism and communications",Theme 5: Organisation and management,553.6
86,European Union,UK,All modes,All undergraduates,"Media, journalism and communications",Theme 6: Learning resources,552.6
72.5,European Union,UK,All modes,All undergraduates,"Media, journalism and communications",Theme 7: Student voice,552.7
81.5,European Union,UK,All modes,All undergraduates,"Design, and creative and performing arts",Theme 1: Teaching on my course,2744.7
77.9,European Union,UK,All modes,All undergraduates,"Design, and creative and performing arts",Theme 2: Learning opportunities,2744.7
78.7,European Union,UK,All modes,All undergraduates,"Design, and creative and performing arts",Theme 3: Assessment and feedback,2743.7
87.3,European Union,UK,All modes,All undergraduates,"Design, and creative and performing arts",Theme 4: Academic support,2741.9
64.9,European Union,UK,All modes,All undergraduates,"Design, and creative and performing arts",Theme 5: Organisation and management,2742.7
82.9,European Union,UK,All modes,All undergraduates,"Design, and creative and performing arts",Theme 6: Learning resources,2734.9
75.3,European Union,UK,All modes,All undergraduates,"Design, and creative and performing arts",Theme 7: Student voice,2735.2
89.3,European Union,UK,All modes,All undergraduates,"Geography, earth and environmental studies",Theme 1: Teaching on my course,193.7
85.6,European Union,UK,All modes,All undergraduates,"Geography, earth and environmental studies",Theme 2: Learning opportunities,193.7
77.9,European Union,UK,All modes,All undergraduates,"Geography, earth and environmental studies",Theme 3: Assessment and feedback,193.7
90.2,European Union,UK,All modes,All undergraduates,"Geography, earth and environmental studies",Theme 4: Academic support,193.7
81.1,European Union,UK,All modes,All undergraduates,"Geography, earth and environmental studies",Theme 5: Organisation and management,193.7
92.7,European Union,UK,All modes,All undergraduates,"Geography, earth and environmental studies",Theme 6: Learning resources,193.7
78.5,European Union,UK,All modes,All undergraduates,"Geography, earth and environmental studies",Theme 7: Student voice,193.7
83.3,European Union,UK,All modes,All undergraduates,All subjects,Theme 1: Teaching on my course,18319
80.3,European Union,UK,All modes,All undergraduates,All subjects,Theme 2: Learning opportunities,18316
75.2,European Union,UK,All modes,All undergraduates,All subjects,Theme 3: Assessment and feedback,18310
86.5,European Union,UK,All modes,All undergraduates,All subjects,Theme 4: Academic support,18291
74.3,European Union,UK,All modes,All undergraduates,All subjects,Theme 5: Organisation and management,18304
87.6,European Union,UK,All modes,All undergraduates,All subjects,Theme 6: Learning resources,18278
75.2,European Union,UK,All modes,All undergraduates,All subjects,Theme 7: Student voice,18210
100,European Union,UK,Apprenticeship,All undergraduates,Subjects allied to medicine,Theme 1: Teaching on my course,10
100,European Union,UK,Apprenticeship,All undergraduates,Subjects allied to medicine,Theme 2: Learning opportunities,10
98,European Union,UK,Apprenticeship,All undergraduates,Subjects allied to medicine,Theme 3: Assessment and feedback,10
95,European Union,UK,Apprenticeship,All undergraduates,Subjects allied to medicine,Theme 4: Academic support,10
90,European Union,UK,Apprenticeship,All undergraduates,Subjects allied to medicine,Theme 5: Organisation and management,10
100,European Union,UK,Apprenticeship,All undergraduates,Subjects allied to medicine,Theme 6: Learning resources,10
100,European Union,UK,Apprenticeship,All undergraduates,Subjects allied to medicine,Theme 7: Student voice,10
87.5,European Union,UK,Apprenticeship,All undergraduates,All subjects,Theme 1: Teaching on my course,24
83.3,European Union,UK,Apprenticeship,All undergraduates,All subjects,Theme 2: Learning opportunities,24
82.5,European Union,UK,Apprenticeship,All undergraduates,All subjects,Theme 3: Assessment and feedback,24
89.6,European Union,UK,Apprenticeship,All undergraduates,All subjects,Theme 4: Academic support,24
79.2,European Union,UK,Apprenticeship,All undergraduates,All subjects,Theme 5: Organisation and management,24
91.7,European Union,UK,Apprenticeship,All undergraduates,All subjects,Theme 6: Learning resources,24
80.6,European Union,UK,Apprenticeship,All undergraduates,All subjects,Theme 7: Student voice,24
83.5,European Union,UK,Full-time,All undergraduates,Medicine and dentistry,Theme 1: Teaching on my course,280.3
78.2,European Union,UK,Full-time,All undergraduates,Medicine and dentistry,Theme 2: Learning opportunities,280.3
63.8,European Union,UK,Full-time,All undergraduates,Medicine and dentistry,Theme 3: Assessment and feedback,280.3
77.3,European Union,UK,Full-time,All undergraduates,Medicine and dentistry,Theme 4: Academic support,280.3
53.9,European Union,UK,Full-time,All undergraduates,Medicine and dentistry,Theme 5: Organisation and management,280.3
81.3,European Union,UK,Full-time,All undergraduates,Medicine and dentistry,Theme 6: Learning resources,279.3
64,European Union,UK,Full-time,All undergraduates,Medicine and dentistry,Theme 7: Student voice,280.3
82.3,European Union,UK,Full-time,All undergraduates,Subjects allied to medicine,Theme 1: Teaching on my course,1254.5
80,European Union,UK,Full-time,All undergraduates,Subjects allied to medicine,Theme 2: Learning opportunities,1254.5
71.2,European Union,UK,Full-time,All undergraduates,Subjects allied to medicine,Theme 3: Assessment and feedback,1254.5
80.9,European Union,UK,Full-time,All undergraduates,Subjects allied to medicine,Theme 4: Academic support,1254.5
66.1,European Union,UK,Full-time,All undergraduates,Subjects allied to medicine,Theme 5: Organisation and management,1254.5
86.9,European Union,UK,Full-time,All undergraduates,Subjects allied to medicine,Theme 6: Learning resources,1253.5
72.8,European Union,UK,Full-time,All undergraduates,Subjects allied to medicine,Theme 7: Student voice,1242.5
85.1,European Union,UK,Full-time,All undergraduates,Biological and sport sciences,Theme 1: Teaching on my course,911.6
82.7,European Union,UK,Full-time,All undergraduates,Biological and sport sciences,Theme 2: Learning opportunities,911.6
74.1,European Union,UK,Full-time,All undergraduates,Biological and sport sciences,Theme 3: Assessment and feedback,910.6
88.1,European Union,UK,Full-time,All undergraduates,Biological and sport sciences,Theme 4: Academic support,910.6
80,European Union,UK,Full-time,All undergraduates,Biological and sport sciences,Theme 5: Organisation and management,910.6
89.7,European Union,UK,Full-time,All undergraduates,Biological and sport sciences,Theme 6: Learning resources,909.6
78.3,European Union,UK,Full-time,All undergraduates,Biological and sport sciences,Theme 7: Student voice,905.4
84,European Union,UK,Full-time,All undergraduates,Psychology,Theme 1: Teaching on my course,995.2
79.5,European Union,UK,Full-time,All undergraduates,Psychology,Theme 2: Learning opportunities,995.2
74.9,European Union,UK,Full-time,All undergraduates,Psychology,Theme 3: Assessment and feedback,995.2
86.2,European Union,UK,Full-time,All undergraduates,Psychology,Theme 4: Academic support,994.2
77.9,European Union,UK,Full-time,All undergraduates,Psychology,Theme 5: Organisation and management,995.2
89.8,European Union,UK,Full-time,All undergraduates,Psychology,Theme 6: Learning resources,992.4
77.2,European Union,UK,Full-time,All undergraduates,Psychology,Theme 7: Student voice,994.5
95.6,European Union,UK,Full-time,All undergraduates,Veterinary sciences,Theme 1: Teaching on my course,39.5
93.2,European Union,UK,Full-time,All undergraduates,Veterinary sciences,Theme 2: Learning opportunities,39.5
81,European Union,UK,Full-time,All undergraduates,Veterinary sciences,Theme 3: Assessment and feedback,39.5
91.1,European Union,UK,Full-time,All undergraduates,Veterinary sciences,Theme 4: Academic support,39.5
73.4,European Union,UK,Full-time,All undergraduates,Veterinary sciences,Theme 5: Organisation and management,39.5
89.9,European Union,UK,Full-time,All undergraduates,Veterinary sciences,Theme 6: Learning resources,39.5
86.6,European Union,UK,Full-time,All undergraduates,Veterinary sciences,Theme 7: Student voice,38.5
81.4,European Union,UK,Full-time,All undergraduates,"Agriculture, food and related studies",Theme 1: Teaching on my course,100.9
80.5,European Union,UK,Full-time,All undergraduates,"Agriculture, food and related studies",Theme 2: Learning opportunities,100.9
79.1,European Union,UK,Full-time,All undergraduates,"Agriculture, food and related studies",Theme 3: Assessment and feedback,100.9
86.9,European Union,UK,Full-time,All undergraduates,"Agriculture, food and related studies",Theme 4: Academic support,100.9
77.6,European Union,UK,Full-time,All undergraduates,"Agriculture, food and related studies",Theme 5: Organisation and management,100.9
87.5,European Union,UK,Full-time,All undergraduates,"Agriculture, food and related studies",Theme 6: Learning resources,100.9
77.6,European Union,UK,Full-time,All undergraduates,"Agriculture, food and related studies",Theme 7: Student voice,100.9
86.3,European Union,UK,Full-time,All undergraduates,Physical sciences,Theme 1: Teaching on my course,510.3
81.3,European Union,UK,Full-time,All undergraduates,Physical sciences,Theme 2: Learning opportunities,510.3
71.7,European Union,UK,Full-time,All undergraduates,Physical sciences,Theme 3: Assessment and feedback,509.3
89.9,European Union,UK,Full-time,All undergraduates,Physical sciences,Theme 4: Academic support,509.3
75.1,European Union,UK,Full-time,All undergraduates,Physical sciences,Theme 5: Organisation and management,508.3
89.7,European Union,UK,Full-time,All undergraduates,Physical sciences,Theme 6: Learning resources,509.3
73.9,European Union,UK,Full-time,All undergraduates,Physical sciences,Theme 7: Student voice,506.8
81.6,European Union,UK,Full-time,All undergraduates,Mathematical sciences,Theme 1: Teaching on my course,299.6
81,European Union,UK,Full-time,All undergraduates,Mathematical sciences,Theme 2: Learning opportunities,299.6
75.8,European Union,UK,Full-time,All undergraduates,Mathematical sciences,Theme 3: Assessment and feedback,299.6
88.5,European Union,UK,Full-time,All undergraduates,Mathematical sciences,Theme 4: Academic support,299.6
80.9,European Union,UK,Full-time,All undergraduates,Mathematical sciences,Theme 5: Organisation and management,299.6
89.6,European Union,UK,Full-time,All undergraduates,Mathematical sciences,Theme 6: Learning resources,298.6
76.5,European Union,UK,Full-time,All undergraduates,Mathematical sciences,Theme 7: Student voice,298.6
82.8,European Union,UK,Full-time,All undergraduates,Engineering and technology,Theme 1: Teaching on my course,1154.7
81,European Union,UK,Full-time,All undergraduates,Engineering and technology,Theme 2: Learning opportunities,1153.7
70.4,European Union,UK,Full-time,All undergraduates,Engineering and technology,Theme 3: Assessment and feedback,1152.7
85.9,European Union,UK,Full-time,All undergraduates,Engineering and technology,Theme 4: Academic support,1148.7
74.2,European Union,UK,Full-time,All undergraduates,Engineering and technology,Theme 5: Organisation and management,1151.7
88.5,European Union,UK,Full-time,All undergraduates,Engineering and technology,Theme 6: Learning resources,1153.7
73.9,European Union,UK,Full-time,All undergraduates,Engineering and technology,Theme 7: Student voice,1147.4
79,European Union,UK,Full-time,All undergraduates,Computing,Theme 1: Teaching on my course,1265.2
76.1,European Union,UK,Full-time,All undergraduates,Computing,Theme 2: Learning opportunities,1264.2
72.2,European Union,UK,Full-time,All undergraduates,Computing,Theme 3: Assessment and feedback,1263.2
84.2,European Union,UK,Full-time,All undergraduates,Computing,Theme 4: Academic support,1260.2
71.6,European Union,UK,Full-time,All undergraduates,Computing,Theme 5: Organisation and management,1262.2
86.9,European Union,UK,Full-time,All undergraduates,Computing,Theme 6: Learning resources,1260.2
74.5,European Union,UK,Full-time,All undergraduates,Computing,Theme 7: Student voice,1255.6
88.1,European Union,UK,Full-time,All undergraduates,"Architecture, building and planning",Theme 1: Teaching on my course,398.1
82.1,European Union,UK,Full-time,All undergraduates,"Architecture, building and planning",Theme 2: Learning opportunities,398.1
77.4,European Union,UK,Full-time,All undergraduates,"Architecture, building and planning",Theme 3: Assessment and feedback,398.1
87.4,European Union,UK,Full-time,All undergraduates,"Architecture, building and planning",Theme 4: Academic support,398.1
70.7,European Union,UK,Full-time,All undergraduates,"Architecture, building and planning",Theme 5: Organisation and management,398.1
86,European Union,UK,Full-time,All undergraduates,"Architecture, building and planning",Theme 6: Learning resources,398.1
75.9,European Union,UK,Full-time,All undergraduates,"Architecture, building and planning",Theme 7: Student voice,397.1
85,European Union,UK,Full-time,All undergraduates,Social sciences,Theme 1: Teaching on my course,1873.1
79.8,European Union,UK,Full-time,All undergraduates,Social sciences,Theme 2: Learning opportunities,1872.1
73.3,European Union,UK,Full-time,All undergraduates,Social sciences,Theme 3: Assessment and feedback,1871.1
87.7,European Union,UK,Full-time,All undergraduates,Social sciences,Theme 4: Academic support,1870.1
77,European Union,UK,Full-time,All undergraduates,Social sciences,Theme 5: Organisation and management,1871.1
88.6,European Union,UK,Full-time,All undergraduates,Social sciences,Theme 6: Learning resources,1869.2
73.6,European Union,UK,Full-time,All undergraduates,Social sciences,Theme 7: Student voice,1853.8
86.5,European Union,UK,Full-time,All undergraduates,Law,Theme 1: Teaching on my course,786.5
80.3,European Union,UK,Full-time,All undergraduates,Law,Theme 2: Learning opportunities,786.5
73.3,European Union,UK,Full-time,All undergraduates,Law,Theme 3: Assessment and feedback,786.5
86.8,European Union,UK,Full-time,All undergraduates,Law,Theme 4: Academic support,786.5
79.4,European Union,UK,Full-time,All undergraduates,Law,Theme 5: Organisation and management,786.5
90,European Union,UK,Full-time,All undergraduates,Law,Theme 6: Learning resources,786.5
71.7,European Union,UK,Full-time,All undergraduates,Law,Theme 7: Student voice,779
81.7,European Union,UK,Full-time,All undergraduates,Business and management,Theme 1: Teaching on my course,3504.1
82.4,European Union,UK,Full-time,All undergraduates,Business and management,Theme 2: Learning opportunities,3504.1
77.2,European Union,UK,Full-time,All undergraduates,Business and management,Theme 3: Assessment and feedback,3504.1
86.1,European Union,UK,Full-time,All undergraduates,Business and management,Theme 4: Academic support,3499.1
81,European Union,UK,Full-time,All undergraduates,Business and management,Theme 5: Organisation and management,3504.1
89.1,European Union,UK,Full-time,All undergraduates,Business and management,Theme 6: Learning resources,3493.7
77.4,European Union,UK,Full-time,All undergraduates,Business and management,Theme 7: Student voice,3481.7
88.7,European Union,UK,Full-time,All undergraduates,Language and area studies,Theme 1: Teaching on my course,649.1
83.2,European Union,UK,Full-time,All undergraduates,Language and area studies,Theme 2: Learning opportunities,649.1
79.8,European Union,UK,Full-time,All undergraduates,Language and area studies,Theme 3: Assessment and feedback,649.1
90.3,European Union,UK,Full-time,All undergraduates,Language and area studies,Theme 4: Academic support,647.9
76.7,European Union,UK,Full-time,All undergraduates,Language and area studies,Theme 5: Organisation and management,648.1
89.1,European Union,UK,Full-time,All undergraduates,Language and area studies,Theme 6: Learning resources,647.9
77.2,European Union,UK,Full-time,All undergraduates,Language and area studies,Theme 7: Student voice,646.8
91.1,European Union,UK,Full-time,All undergraduates,"Historical, philosophical and religious studies",Theme 1: Teaching on my course,458.3
83.5,European Union,UK,Full-time,All undergraduates,"Historical, philosophical and religious studies",Theme 2: Learning opportunities,458.3
78.5,European Union,UK,Full-time,All undergraduates,"Historical, philosophical and religious studies",Theme 3: Assessment and feedback,458.3
91.5,European Union,UK,Full-time,All undergraduates,"Historical, philosophical and religious studies",Theme 4: Academic support,458.3
78.3,European Union,UK,Full-time,All undergraduates,"Historical, philosophical and religious studies",Theme 5: Organisation and management,457.3
88.9,European Union,UK,Full-time,All undergraduates,"Historical, philosophical and religious studies",Theme 6: Learning resources,458.3
75.7,European Union,UK,Full-time,All undergraduates,"Historical, philosophical and religious studies",Theme 7: Student voice,456
86.6,European Union,UK,Full-time,All undergraduates,Education and teaching,Theme 1: Teaching on my course,96
86.4,European Union,UK,Full-time,All undergraduates,Education and teaching,Theme 2: Learning opportunities,96
85.7,European Union,UK,Full-time,All undergraduates,Education and teaching,Theme 3: Assessment and feedback,96
91.3,European Union,UK,Full-time,All undergraduates,Education and teaching,Theme 4: Academic support,95
77.6,European Union,UK,Full-time,All undergraduates,Education and teaching,Theme 5: Organisation and management,96
88.9,European Union,UK,Full-time,All undergraduates,Education and teaching,Theme 6: Learning resources,96
78.4,European Union,UK,Full-time,All undergraduates,Education and teaching,Theme 7: Student voice,96
83.7,European Union,UK,Full-time,All undergraduates,Combined and general studies,Theme 1: Teaching on my course,137.1
81.6,European Union,UK,Full-time,All undergraduates,Combined and general studies,Theme 2: Learning opportunities,137.1
76.8,European Union,UK,Full-time,All undergraduates,Combined and general studies,Theme 3: Assessment and feedback,137.1
88,European Union,UK,Full-time,All undergraduates,Combined and general studies,Theme 4: Academic support,137.1
