Positvity measure (%),Split,Provider country,Mode of study,Level of study,Subject,Question Number,Responses
81.1,Disability reported,UK,All modes,All undergraduates,Physical sciences,Theme 2: Learning opportunities,1685.8
72.9,Disability reported,UK,All modes,All undergraduates,Physical sciences,Theme 3: Assessment and feedback,1683.8
85,Disability reported,UK,All modes,All undergraduates,Physical sciences,Theme 4: Academic support,1683.8
71.4,Disability reported,UK,All modes,All undergraduates,Physical sciences,Theme 5: Organisation and management,1683.8
86.5,Disability reported,UK,All modes,All undergraduates,Physical sciences,Theme 6: Learning resources,1682.5
69.7,Disability reported,UK,All modes,All undergraduates,Physical sciences,Theme 7: Student voice,1670.9
84.3,Disability reported,UK,All modes,All undergraduates,Mathematical sciences,Theme 1: Teaching on my course,810.3
79.2,Disability reported,UK,All modes,All undergraduates,Mathematical sciences,Theme 2: Learning opportunities,808.9
76,Disability reported,UK,All modes,All undergraduates,Mathematical sciences,Theme 3: Assessment and feedback,808.9
85.7,Disability reported,UK,All modes,All undergraduates,Mathematical sciences,Theme 4: Academic support,807.2
78.8,Disability reported,UK,All modes,All undergraduates,Mathematical sciences,Theme 5: Organisation and management,807.4
85.1,Disability reported,UK,All modes,All undergraduates,Mathematical sciences,Theme 6: Learning resources,801.1
68.1,Disability reported,UK,All modes,All undergraduates,Mathematical sciences,Theme 7: Student voice,795.2
82.2,Disability reported,UK,All modes,All undergraduates,Engineering and technology,Theme 1: Teaching on my course,2573
78.3,Disability reported,UK,All modes,All undergraduates,Engineering and technology,Theme 2: Learning opportunities,2572
70.8,Disability reported,UK,All modes,All undergraduates,Engineering and technology,Theme 3: Assessment and feedback,2570
81.2,Disability reported,UK,All modes,All undergraduates,Engineering and technology,Theme 4: Academic support,2567
67.3,Disability reported,UK,All modes,All undergraduates,Engineering and technology,Theme 5: Organisation and management,2570
83.3,Disability reported,UK,All modes,All undergraduates,Engineering and technology,Theme 6: Learning resources,2564.2
66.9,Disability reported,UK,All modes,All undergraduates,Engineering and technology,Theme 7: Student voice,2547.5
81,Disability reported,UK,All modes,All undergraduates,Computing,Theme 1: Teaching on my course,3115.6
76.7,Disability reported,UK,All modes,All undergraduates,Computing,Theme 2: Learning opportunities,3114.3
76.2,Disability reported,UK,All modes,All undergraduates,Computing,Theme 3: Assessment and feedback,3110.3
82.3,Disability reported,UK,All modes,All undergraduates,Computing,Theme 4: Academic support,3107.5
69.1,Disability reported,UK,All modes,All undergraduates,Computing,Theme 5: Organisation and management,3109.3
82.7,Disability reported,UK,All modes,All undergraduates,Computing,Theme 6: Learning resources,3099
69.2,Disability reported,UK,All modes,All undergraduates,Computing,Theme 7: Student voice,3085.3
84.7,Disability reported,UK,All modes,All undergraduates,"Architecture, building and planning",Theme 1: Teaching on my course,975.1
80.3,Disability reported,UK,All modes,All undergraduates,"Architecture, building and planning",Theme 2: Learning opportunities,975.1
75.5,Disability reported,UK,All modes,All undergraduates,"Architecture, building and planning",Theme 3: Assessment and feedback,975.1
81.6,Disability reported,UK,All modes,All undergraduates,"Architecture, building and planning",Theme 4: Academic support,974.1
68.3,Disability reported,UK,All modes,All undergraduates,"Architecture, building and planning",Theme 5: Organisation and management,975.1
81.2,Disability reported,UK,All modes,All undergraduates,"Architecture, building and planning",Theme 6: Learning resources,973.1
70.6,Disability reported,UK,All modes,All undergraduates,"Architecture, building and planning",Theme 7: Student voice,973.1
84.8,Disability reported,UK,All modes,All undergraduates,Social sciences,Theme 1: Teaching on my course,7186.7
80.1,Disability reported,UK,All modes,All undergraduates,Social sciences,Theme 2: Learning opportunities,7186.8
76.6,Disability reported,UK,All modes,All undergraduates,Social sciences,Theme 3: Assessment and feedback,7186.8
80.9,Disability reported,UK,All modes,All undergraduates,Social sciences,Theme 4: Academic support,7185.8
72.9,Disability reported,UK,All modes,All undergraduates,Social sciences,Theme 5: Organisation and management,7185.3
83.7,Disability reported,UK,All modes,All undergraduates,Social sciences,Theme 6: Learning resources,7159.3
68.5,Disability reported,UK,All modes,All undergraduates,Social sciences,Theme 7: Student voice,7134.4
82.9,Disability reported,UK,All modes,All undergraduates,Law,Theme 1: Teaching on my course,2721.7
76.6,Disability reported,UK,All modes,All undergraduates,Law,Theme 2: Learning opportunities,2720.7
71.7,Disability reported,UK,All modes,All undergraduates,Law,Theme 3: Assessment and feedback,2717.7
77.3,Disability reported,UK,All modes,All undergraduates,Law,Theme 4: Academic support,2716
71.3,Disability reported,UK,All modes,All undergraduates,Law,Theme 5: Organisation and management,2716.7
84.3,Disability reported,UK,All modes,All undergraduates,Law,Theme 6: Learning resources,2696.7
62.6,Disability reported,UK,All modes,All undergraduates,Law,Theme 7: Student voice,2682.5
80.4,Disability reported,UK,All modes,All undergraduates,Business and management,Theme 1: Teaching on my course,4920.7
79.8,Disability reported,UK,All modes,All undergraduates,Business and management,Theme 2: Learning opportunities,4920.5
76.5,Disability reported,UK,All modes,All undergraduates,Business and management,Theme 3: Assessment and feedback,4918.8
81.6,Disability reported,UK,All modes,All undergraduates,Business and management,Theme 4: Academic support,4914
74.9,Disability reported,UK,All modes,All undergraduates,Business and management,Theme 5: Organisation and management,4914.3
84.1,Disability reported,UK,All modes,All undergraduates,Business and management,Theme 6: Learning resources,4900.9
69.5,Disability reported,UK,All modes,All undergraduates,Business and management,Theme 7: Student voice,4888.4
89.4,Disability reported,UK,All modes,All undergraduates,Language and area studies,Theme 1: Teaching on my course,2808.2
81.7,Disability reported,UK,All modes,All undergraduates,Language and area studies,Theme 2: Learning opportunities,2807.2
79.3,Disability reported,UK,All modes,All undergraduates,Language and area studies,Theme 3: Assessment and feedback,2806.2
88.1,Disability reported,UK,All modes,All undergraduates,Language and area studies,Theme 4: Academic support,2807.2
74.6,Disability reported,UK,All modes,All undergraduates,Language and area studies,Theme 5: Organisation and management,2804.2
85.1,Disability reported,UK,All modes,All undergraduates,Language and area studies,Theme 6: Learning resources,2785.5
69.7,Disability reported,UK,All modes,All undergraduates,Language and area studies,Theme 7: Student voice,2788.3
91,Disability reported,UK,All modes,All undergraduates,"Historical, philosophical and religious studies",Theme 1: Teaching on my course,2849.7
81.3,Disability reported,UK,All modes,All undergraduates,"Historical, philosophical and religious studies",Theme 2: Learning opportunities,2849.4
79,Disability reported,UK,All modes,All undergraduates,"Historical, philosophical and religious studies",Theme 3: Assessment and feedback,2848.5
87.9,Disability reported,UK,All modes,All undergraduates,"Historical, philosophical and religious studies",Theme 4: Academic support,2848
76.3,Disability reported,UK,All modes,All undergraduates,"Historical, philosophical and religious studies",Theme 5: Organisation and management,2849.2
86.7,Disability reported,UK,All modes,All undergraduates,"Historical, philosophical and religious studies",Theme 6: Learning resources,2843
69.3,Disability reported,UK,All modes,All undergraduates,"Historical, philosophical and religious studies",Theme 7: Student voice,2823.7
85.8,Disability reported,UK,All modes,All undergraduates,Education and teaching,Theme 1: Teaching on my course,2126.6
84.4,Disability reported,UK,All modes,All undergraduates,Education and teaching,Theme 2: Learning opportunities,2127.6
80.8,Disability reported,UK,All modes,All undergraduates,Education and teaching,Theme 3: Assessment and feedback,2127.6
83,Disability reported,UK,All modes,All undergraduates,Education and teaching,Theme 4: Academic support,2123.6
70.8,Disability reported,UK,All modes,All undergraduates,Education and teaching,Theme 5: Organisation and management,2127.1
85.2,Disability reported,UK,All modes,All undergraduates,Education and teaching,Theme 6: Learning resources,2120.6
72,Disability reported,UK,All modes,All undergraduates,Education and teaching,Theme 7: Student voice,2116.1
87.2,Disability reported,UK,All modes,All undergraduates,Combined and general studies,Theme 1: Teaching on my course,1013.1
82.1,Disability reported,UK,All modes,All undergraduates,Combined and general studies,Theme 2: Learning opportunities,1013.1
83.6,Disability reported,UK,All modes,All undergraduates,Combined and general studies,Theme 3: Assessment and feedback,1013.1
86,Disability reported,UK,All modes,All undergraduates,Combined and general studies,Theme 4: Academic support,1010.1
82.5,Disability reported,UK,All modes,All undergraduates,Combined and general studies,Theme 5: Organisation and management,1010.1
84.2,Disability reported,UK,All modes,All undergraduates,Combined and general studies,Theme 6: Learning resources,1006.8
65.8,Disability reported,UK,All modes,All undergraduates,Combined and general studies,Theme 7: Student voice,996.3
83.9,Disability reported,UK,All modes,All undergraduates,"Media, journalism and communications",Theme 1: Teaching on my course,1406.2
79.7,Disability reported,UK,All modes,All undergraduates,"Media, journalism and communications",Theme 2: Learning opportunities,1405.9
79.7,Disability reported,UK,All modes,All undergraduates,"Media, journalism and communications",Theme 3: Assessment and feedback,1405.6
84.9,Disability reported,UK,All modes,All undergraduates,"Media, journalism and communications",Theme 4: Academic support,1403.6
69.3,Disability reported,UK,All modes,All undergraduates,"Media, journalism and communications",Theme 5: Organisation and management,1404.6
84.3,Disability reported,UK,All modes,All undergraduates,"Media, journalism and communications",Theme 6: Learning resources,1401.3
70.2,Disability reported,UK,All modes,All undergraduates,"Media, journalism and communications",Theme 7: Student voice,1392.3
83.7,Disability reported,UK,All modes,All undergraduates,"Design, and creative and performing arts",Theme 1: Teaching on my course,9433.3
78.8,Disability reported,UK,All modes,All undergraduates,"Design, and creative and performing arts",Theme 2: Learning opportunities,9431.8
79.3,Disability reported,UK,All modes,All undergraduates,"Design, and creative and performing arts",Theme 3: Assessment and feedback,9428.7
82.9,Disability reported,UK,All modes,All undergraduates,"Design, and creative and performing arts",Theme 4: Academic support,9429.7
64,Disability reported,UK,All modes,All undergraduates,"Design, and creative and performing arts",Theme 5: Organisation and management,9422
79.8,Disability reported,UK,All modes,All undergraduates,"Design, and creative and performing arts",Theme 6: Learning resources,9403.9
70,Disability reported,UK,All modes,All undergraduates,"Design, and creative and performing arts",Theme 7: Student voice,9383.4
87.3,Disability reported,UK,All modes,All undergraduates,"Geography, earth and environmental studies",Theme 1: Teaching on my course,1273.8
80.7,Disability reported,UK,All modes,All undergraduates,"Geography, earth and environmental studies",Theme 2: Learning opportunities,1273.8
75.3,Disability reported,UK,All modes,All undergraduates,"Geography, earth and environmental studies",Theme 3: Assessment and feedback,1273.8
83.2,Disability reported,UK,All modes,All undergraduates,"Geography, earth and environmental studies",Theme 4: Academic support,1273.8
75.1,Disability reported,UK,All modes,All undergraduates,"Geography, earth and environmental studies",Theme 5: Organisation and management,1273.8
85,Disability reported,UK,All modes,All undergraduates,"Geography, earth and environmental studies",Theme 6: Learning resources,1268.8
70.5,Disability reported,UK,All modes,All undergraduates,"Geography, earth and environmental studies",Theme 7: Student voice,1262.2
84.1,Disability reported,UK,All modes,All undergraduates,All subjects,Theme 1: Teaching on my course,64752
79.4,Disability reported,UK,All modes,All undergraduates,All subjects,Theme 2: Learning opportunities,64743
75.9,Disability reported,UK,All modes,All undergraduates,All subjects,Theme 3: Assessment and feedback,64724
81,Disability reported,UK,All modes,All undergraduates,All subjects,Theme 4: Academic support,64684
68.6,Disability reported,UK,All modes,All undergraduates,All subjects,Theme 5: Organisation and management,64694
83.4,Disability reported,UK,All modes,All undergraduates,All subjects,Theme 6: Learning resources,64458
68.2,Disability reported,UK,All modes,All undergraduates,All subjects,Theme 7: Student voice,64274
85.5,Disability reported,UK,Apprenticeship,All undergraduates,Subjects allied to medicine,Theme 1: Teaching on my course,701.9
81.3,Disability reported,UK,Apprenticeship,All undergraduates,Subjects allied to medicine,Theme 2: Learning opportunities,700.9
82.2,Disability reported,UK,Apprenticeship,All undergraduates,Subjects allied to medicine,Theme 3: Assessment and feedback,700.9
79.8,Disability reported,UK,Apprenticeship,All undergraduates,Subjects allied to medicine,Theme 4: Academic support,699.9
59.3,Disability reported,UK,Apprenticeship,All undergraduates,Subjects allied to medicine,Theme 5: Organisation and management,700.9
86,Disability reported,UK,Apprenticeship,All undergraduates,Subjects allied to medicine,Theme 6: Learning resources,697.9
71.9,Disability reported,UK,Apprenticeship,All undergraduates,Subjects allied to medicine,Theme 7: Student voice,696.9
76.6,Disability reported,UK,Apprenticeship,All undergraduates,Engineering and technology,Theme 1: Teaching on my course,116.7
66.3,Disability reported,UK,Apprenticeship,All undergraduates,Engineering and technology,Theme 2: Learning opportunities,116.7
69.9,Disability reported,UK,Apprenticeship,All undergraduates,Engineering and technology,Theme 3: Assessment and feedback,115.7
79.2,Disability reported,UK,Apprenticeship,All undergraduates,Engineering and technology,Theme 4: Academic support,114.7
55.3,Disability reported,UK,Apprenticeship,All undergraduates,Engineering and technology,Theme 5: Organisation and management,115.7
71.6,Disability reported,UK,Apprenticeship,All undergraduates,Engineering and technology,Theme 6: Learning resources,112.7
58.9,Disability reported,UK,Apprenticeship,All undergraduates,Engineering and technology,Theme 7: Student voice,113.7
80.9,Disability reported,UK,Apprenticeship,All undergraduates,Computing,Theme 1: Teaching on my course,123.5
76.5,Disability reported,UK,Apprenticeship,All undergraduates,Computing,Theme 2: Learning opportunities,122.5
77,Disability reported,UK,Apprenticeship,All undergraduates,Computing,Theme 3: Assessment and feedback,122.5
84.9,Disability reported,UK,Apprenticeship,All undergraduates,Computing,Theme 4: Academic support,122.5
62.9,Disability reported,UK,Apprenticeship,All undergraduates,Computing,Theme 5: Organisation and management,122.5
82.5,Disability reported,UK,Apprenticeship,All undergraduates,Computing,Theme 6: Learning resources,123.5
64.6,Disability reported,UK,Apprenticeship,All undergraduates,Computing,Theme 7: Student voice,122.5
74.4,Disability reported,UK,Apprenticeship,All undergraduates,"Architecture, building and planning",Theme 1: Teaching on my course,89
71.2,Disability reported,UK,Apprenticeship,All undergraduates,"Architecture, building and planning",Theme 2: Learning opportunities,89
72.6,Disability reported,UK,Apprenticeship,All undergraduates,"Architecture, building and planning",Theme 3: Assessment and feedback,89
74.7,Disability reported,UK,Apprenticeship,All undergraduates,"Architecture, building and planning",Theme 4: Academic support,89
64,Disability reported,UK,Apprenticeship,All undergraduates,"Architecture, building and planning",Theme 5: Organisation and management,89
80,Disability reported,UK,Apprenticeship,All undergraduates,"Architecture, building and planning",Theme 6: Learning resources,89
61.8,Disability reported,UK,Apprenticeship,All undergraduates,"Architecture, building and planning",Theme 7: Student voice,89
85.4,Disability reported,UK,Apprenticeship,All undergraduates,Social sciences,Theme 1: Teaching on my course,180.7
84,Disability reported,UK,Apprenticeship,All undergraduates,Social sciences,Theme 2: Learning opportunities,180.7
84.1,Disability reported,UK,Apprenticeship,All undergraduates,Social sciences,Theme 3: Assessment and feedback,180.7
83,Disability reported,UK,Apprenticeship,All undergraduates,Social sciences,Theme 4: Academic support,180.7
65.8,Disability reported,UK,Apprenticeship,All undergraduates,Social sciences,Theme 5: Organisation and management,180.7
83,Disability reported,UK,Apprenticeship,All undergraduates,Social sciences,Theme 6: Learning resources,180.7
71.7,Disability reported,UK,Apprenticeship,All undergraduates,Social sciences,Theme 7: Student voice,180.7
48.6,Disability reported,UK,Apprenticeship,All undergraduates,Law,Theme 1: Teaching on my course,93.7
48.4,Disability reported,UK,Apprenticeship,All undergraduates,Law,Theme 2: Learning opportunities,93.7
58.5,Disability reported,UK,Apprenticeship,All undergraduates,Law,Theme 3: Assessment and feedback,93.7
68.5,Disability reported,UK,Apprenticeship,All undergraduates,Law,Theme 4: Academic support,93.7
32.7,Disability reported,UK,Apprenticeship,All undergraduates,Law,Theme 5: Organisation and management,93.7
60.9,Disability reported,UK,Apprenticeship,All undergraduates,Law,Theme 6: Learning resources,88.7
39.9,Disability reported,UK,Apprenticeship,All undergraduates,Law,Theme 7: Student voice,90.7
78.2,Disability reported,UK,Apprenticeship,All undergraduates,Business and management,Theme 1: Teaching on my course,130.3
76.1,Disability reported,UK,Apprenticeship,All undergraduates,Business and management,Theme 2: Learning opportunities,130.3
77,Disability reported,UK,Apprenticeship,All undergraduates,Business and management,Theme 3: Assessment and feedback,130.3
79.7,Disability reported,UK,Apprenticeship,All undergraduates,Business and management,Theme 4: Academic support,130.3
52,Disability reported,UK,Apprenticeship,All undergraduates,Business and management,Theme 5: Organisation and management,130.3
81.8,Disability reported,UK,Apprenticeship,All undergraduates,Business and management,Theme 6: Learning resources,130.3
59.1,Disability reported,UK,Apprenticeship,All undergraduates,Business and management,Theme 7: Student voice,130.3
80.7,Disability reported,UK,Apprenticeship,All undergraduates,All subjects,Theme 1: Teaching on my course,1461
76.7,Disability reported,UK,Apprenticeship,All undergraduates,All subjects,Theme 2: Learning opportunities,1459
78.3,Disability reported,UK,Apprenticeship,All undergraduates,All subjects,Theme 3: Assessment and feedback,1458
79.5,Disability reported,UK,Apprenticeship,All undergraduates,All subjects,Theme 4: Academic support,1456
58.1,Disability reported,UK,Apprenticeship,All undergraduates,All subjects,Theme 5: Organisation and management,1458
81.8,Disability reported,UK,Apprenticeship,All undergraduates,All subjects,Theme 6: Learning resources,1448
66.5,Disability reported,UK,Apprenticeship,All undergraduates,All subjects,Theme 7: Student voice,1449
82.4,Disability reported,UK,Full-time,All undergraduates,Medicine and dentistry,Theme 1: Teaching on my course,1356.4
77.4,Disability reported,UK,Full-time,All undergraduates,Medicine and dentistry,Theme 2: Learning opportunities,1356.4
62.6,Disability reported,UK,Full-time,All undergraduates,Medicine and dentistry,Theme 3: Assessment and feedback,1356.4
76.4,Disability reported,UK,Full-time,All undergraduates,Medicine and dentistry,Theme 4: Academic support,1354.4
47.5,Disability reported,UK,Full-time,All undergraduates,Medicine and dentistry,Theme 5: Organisation and management,1356.4
78.8,Disability reported,UK,Full-time,All undergraduates,Medicine and dentistry,Theme 6: Learning resources,1347.4
58.4,Disability reported,UK,Full-time,All undergraduates,Medicine and dentistry,Theme 7: Student voice,1349.4
80.7,Disability reported,UK,Full-time,All undergraduates,Subjects allied to medicine,Theme 1: Teaching on my course,8532.8
76.7,Disability reported,UK,Full-time,All undergraduates,Subjects allied to medicine,Theme 2: Learning opportunities,8530.8
70.9,Disability reported,UK,Full-time,All undergraduates,Subjects allied to medicine,Theme 3: Assessment and feedback,8532.8
71.5,Disability reported,UK,Full-time,All undergraduates,Subjects allied to medicine,Theme 4: Academic support,8526.8
54.5,Disability reported,UK,Full-time,All undergraduates,Subjects allied to medicine,Theme 5: Organisation and management,8528.8
82.9,Disability reported,UK,Full-time,All undergraduates,Subjects allied to medicine,Theme 6: Learning resources,8491.8
64.1,Disability reported,UK,Full-time,All undergraduates,Subjects allied to medicine,Theme 7: Student voice,8479.2
86.7,Disability reported,UK,Full-time,All undergraduates,Biological and sport sciences,Theme 1: Teaching on my course,3221.9
82.2,Disability reported,UK,Full-time,All undergraduates,Biological and sport sciences,Theme 2: Learning opportunities,3221.9
76.3,Disability reported,UK,Full-time,All undergraduates,Biological and sport sciences,Theme 3: Assessment and feedback,3221.9
84.6,Disability reported,UK,Full-time,All undergraduates,Biological and sport sciences,Theme 4: Academic support,3220.9
76.5,Disability reported,UK,Full-time,All undergraduates,Biological and sport sciences,Theme 5: Organisation and management,3219.9
84.3,Disability reported,UK,Full-time,All undergraduates,Biological and sport sciences,Theme 6: Learning resources,3206.7
72.8,Disability reported,UK,Full-time,All undergraduates,Biological and sport sciences,Theme 7: Student voice,3201.1
83.6,Disability reported,UK,Full-time,All undergraduates,Psychology,Theme 1: Teaching on my course,3444.4
77.8,Disability reported,UK,Full-time,All undergraduates,Psychology,Theme 2: Learning opportunities,3444.4
72.2,Disability reported,UK,Full-time,All undergraduates,Psychology,Theme 3: Assessment and feedback,3443.4
78.6,Disability reported,UK,Full-time,All undergraduates,Psychology,Theme 4: Academic support,3441.4
73.2,Disability reported,UK,Full-time,All undergraduates,Psychology,Theme 5: Organisation and management,3444.4
85,Disability reported,UK,Full-time,All undergraduates,Psychology,Theme 6: Learning resources,3426.5
69.6,Disability reported,UK,Full-time,All undergraduates,Psychology,Theme 7: Student voice,3436
90.2,Disability reported,UK,Full-time,All undergraduates,Veterinary sciences,Theme 1: Teaching on my course,336.2
84.8,Disability reported,UK,Full-time,All undergraduates,Veterinary sciences,Theme 2: Learning opportunities,336.2
74.8,Disability reported,UK,Full-time,All undergraduates,Veterinary sciences,Theme 3: Assessment and feedback,336.2
84.4,Disability reported,UK,Full-time,All undergraduates,Veterinary sciences,Theme 4: Academic support,336.2
62,Disability reported,UK,Full-time,All undergraduates,Veterinary sciences,Theme 5: Organisation and management,336.2
82.8,Disability reported,UK,Full-time,All undergraduates,Veterinary sciences,Theme 6: Learning resources,336.2
69,Disability reported,UK,Full-time,All undergraduates,Veterinary sciences,Theme 7: Student voice,336.2
86.1,Disability reported,UK,Full-time,All undergraduates,"Agriculture, food and related studies",Theme 1: Teaching on my course,683.1
81.3,Disability reported,UK,Full-time,All undergraduates,"Agriculture, food and related studies",Theme 2: Learning opportunities,683.1
77.8,Disability reported,UK,Full-time,All undergraduates,"Agriculture, food and related studies",Theme 3: Assessment and feedback,683.1
83.9,Disability reported,UK,Full-time,All undergraduates,"Agriculture, food and related studies",Theme 4: Academic support,683.1
66.9,Disability reported,UK,Full-time,All undergraduates,"Agriculture, food and related studies",Theme 5: Organisation and management,682.1
82.3,Disability reported,UK,Full-time,All undergraduates,"Agriculture, food and related studies",Theme 6: Learning resources,680.1
68.5,Disability reported,UK,Full-time,All undergraduates,"Agriculture, food and related studies",Theme 7: Student voice,682.1
86.6,Disability reported,UK,Full-time,All undergraduates,Physical sciences,Theme 1: Teaching on my course,1512.2
81.1,Disability reported,UK,Full-time,All undergraduates,Physical sciences,Theme 2: Learning opportunities,1512.2
71,Disability reported,UK,Full-time,All undergraduates,Physical sciences,Theme 3: Assessment and feedback,1511.2
84.9,Disability reported,UK,Full-time,All undergraduates,Physical sciences,Theme 4: Academic support,1510.2
69.9,Disability reported,UK,Full-time,All undergraduates,Physical sciences,Theme 5: Organisation and management,1510.2
86.6,Disability reported,UK,Full-time,All undergraduates,Physical sciences,Theme 6: Learning resources,1509.2
70.2,Disability reported,UK,Full-time,All undergraduates,Physical sciences,Theme 7: Student voice,1501.6
83.6,Disability reported,UK,Full-time,All undergraduates,Mathematical sciences,Theme 1: Teaching on my course,699.3
78.6,Disability reported,UK,Full-time,All undergraduates,Mathematical sciences,Theme 2: Learning opportunities,698.6
73,Disability reported,UK,Full-time,All undergraduates,Mathematical sciences,Theme 3: Assessment and feedback,698.6
84.8,Disability reported,UK,Full-time,All undergraduates,Mathematical sciences,Theme 4: Academic support,698.6
76.8,Disability reported,UK,Full-time,All undergraduates,Mathematical sciences,Theme 5: Organisation and management,697.1
84.8,Disability reported,UK,Full-time,All undergraduates,Mathematical sciences,Theme 6: Learning resources,692.7
67.4,Disability reported,UK,Full-time,All undergraduates,Mathematical sciences,Theme 7: Student voice,690.1
82.2,Disability reported,UK,Full-time,All undergraduates,Engineering and technology,Theme 1: Teaching on my course,2267.1
78.8,Disability reported,UK,Full-time,All undergraduates,Engineering and technology,Theme 2: Learning opportunities,2266.1
69.6,Disability reported,UK,Full-time,All undergraduates,Engineering and technology,Theme 3: Assessment and feedback,2266.1
81,Disability reported,UK,Full-time,All undergraduates,Engineering and technology,Theme 4: Academic support,2264.1
66.9,Disability reported,UK,Full-time,All undergraduates,Engineering and technology,Theme 5: Organisation and management,2266.1
83.7,Disability reported,UK,Full-time,All undergraduates,Engineering and technology,Theme 6: Learning resources,2264.6
67.7,Disability reported,UK,Full-time,All undergraduates,Engineering and technology,Theme 7: Student voice,2250.2
80.5,Disability reported,UK,Full-time,All undergraduates,Computing,Theme 1: Teaching on my course,2682.3
76.4,Disability reported,UK,Full-time,All undergraduates,Computing,Theme 2: Learning opportunities,2682.3
75.1,Disability reported,UK,Full-time,All undergraduates,Computing,Theme 3: Assessment and feedback,2678.3
