Positvity measure (%),Split,Provider country,Mode of study,Level of study,Subject,Question Number,Responses
78.1,Female,UK,All modes,All undergraduates,Psychology,Theme 5: Organisation and management,14871
87.9,Female,UK,All modes,All undergraduates,Psychology,Theme 6: Learning resources,14801.8
71.4,Female,UK,All modes,All undergraduates,Psychology,Theme 7: Student voice,14788.4
92.4,Female,UK,All modes,All undergraduates,Veterinary sciences,Theme 1: Teaching on my course,1423
86.8,Female,UK,All modes,All undergraduates,Veterinary sciences,Theme 2: Learning opportunities,1423
78.2,Female,UK,All modes,All undergraduates,Veterinary sciences,Theme 3: Assessment and feedback,1423
88.2,Female,UK,All modes,All undergraduates,Veterinary sciences,Theme 4: Academic support,1423
66.4,Female,UK,All modes,All undergraduates,Veterinary sciences,Theme 5: Organisation and management,1423
83.4,Female,UK,All modes,All undergraduates,Veterinary sciences,Theme 6: Learning resources,1421
73.2,Female,UK,All modes,All undergraduates,Veterinary sciences,Theme 7: Student voice,1419
85.5,Female,UK,All modes,All undergraduates,"Agriculture, food and related studies",Theme 1: Teaching on my course,1950.1
81.8,Female,UK,All modes,All undergraduates,"Agriculture, food and related studies",Theme 2: Learning opportunities,1950.1
79.8,Female,UK,All modes,All undergraduates,"Agriculture, food and related studies",Theme 3: Assessment and feedback,1950.1
84.9,Female,UK,All modes,All undergraduates,"Agriculture, food and related studies",Theme 4: Academic support,1949.1
71,Female,UK,All modes,All undergraduates,"Agriculture, food and related studies",Theme 5: Organisation and management,1948.6
84.4,Female,UK,All modes,All undergraduates,"Agriculture, food and related studies",Theme 6: Learning resources,1938.1
70.8,Female,UK,All modes,All undergraduates,"Agriculture, food and related studies",Theme 7: Student voice,1939
86.8,Female,UK,All modes,All undergraduates,Physical sciences,Theme 1: Teaching on my course,3886.2
82.1,Female,UK,All modes,All undergraduates,Physical sciences,Theme 2: Learning opportunities,3885.2
74.9,Female,UK,All modes,All undergraduates,Physical sciences,Theme 3: Assessment and feedback,3882.2
86.3,Female,UK,All modes,All undergraduates,Physical sciences,Theme 4: Academic support,3881.2
74.3,Female,UK,All modes,All undergraduates,Physical sciences,Theme 5: Organisation and management,3881.4
88.8,Female,UK,All modes,All undergraduates,Physical sciences,Theme 6: Learning resources,3871.4
71.8,Female,UK,All modes,All undergraduates,Physical sciences,Theme 7: Student voice,3857.1
84.2,Female,UK,All modes,All undergraduates,Mathematical sciences,Theme 1: Teaching on my course,2311.2
80.2,Female,UK,All modes,All undergraduates,Mathematical sciences,Theme 2: Learning opportunities,2311.2
76.7,Female,UK,All modes,All undergraduates,Mathematical sciences,Theme 3: Assessment and feedback,2311.2
86.5,Female,UK,All modes,All undergraduates,Mathematical sciences,Theme 4: Academic support,2307.9
81.5,Female,UK,All modes,All undergraduates,Mathematical sciences,Theme 5: Organisation and management,2310.7
88.8,Female,UK,All modes,All undergraduates,Mathematical sciences,Theme 6: Learning resources,2294.2
72.7,Female,UK,All modes,All undergraduates,Mathematical sciences,Theme 7: Student voice,2293.4
83.9,Female,UK,All modes,All undergraduates,Engineering and technology,Theme 1: Teaching on my course,4221.5
81,Female,UK,All modes,All undergraduates,Engineering and technology,Theme 2: Learning opportunities,4220.5
72.5,Female,UK,All modes,All undergraduates,Engineering and technology,Theme 3: Assessment and feedback,4219.5
84.2,Female,UK,All modes,All undergraduates,Engineering and technology,Theme 4: Academic support,4214.5
72.4,Female,UK,All modes,All undergraduates,Engineering and technology,Theme 5: Organisation and management,4219.5
86.7,Female,UK,All modes,All undergraduates,Engineering and technology,Theme 6: Learning resources,4211.1
71.9,Female,UK,All modes,All undergraduates,Engineering and technology,Theme 7: Student voice,4201.9
81.3,Female,UK,All modes,All undergraduates,Computing,Theme 1: Teaching on my course,3307.4
77.3,Female,UK,All modes,All undergraduates,Computing,Theme 2: Learning opportunities,3310.4
77,Female,UK,All modes,All undergraduates,Computing,Theme 3: Assessment and feedback,3307.4
83,Female,UK,All modes,All undergraduates,Computing,Theme 4: Academic support,3303.1
72.4,Female,UK,All modes,All undergraduates,Computing,Theme 5: Organisation and management,3307.4
85.5,Female,UK,All modes,All undergraduates,Computing,Theme 6: Learning resources,3290.2
70.9,Female,UK,All modes,All undergraduates,Computing,Theme 7: Student voice,3283.2
85.7,Female,UK,All modes,All undergraduates,"Architecture, building and planning",Theme 1: Teaching on my course,2928.7
80.8,Female,UK,All modes,All undergraduates,"Architecture, building and planning",Theme 2: Learning opportunities,2928.7
77.8,Female,UK,All modes,All undergraduates,"Architecture, building and planning",Theme 3: Assessment and feedback,2928.7
83.9,Female,UK,All modes,All undergraduates,"Architecture, building and planning",Theme 4: Academic support,2928.7
70.5,Female,UK,All modes,All undergraduates,"Architecture, building and planning",Theme 5: Organisation and management,2928.7
84.2,Female,UK,All modes,All undergraduates,"Architecture, building and planning",Theme 6: Learning resources,2921.2
73.1,Female,UK,All modes,All undergraduates,"Architecture, building and planning",Theme 7: Student voice,2916.8
85.6,Female,UK,All modes,All undergraduates,Social sciences,Theme 1: Teaching on my course,24824.2
82.2,Female,UK,All modes,All undergraduates,Social sciences,Theme 2: Learning opportunities,24823
78.8,Female,UK,All modes,All undergraduates,Social sciences,Theme 3: Assessment and feedback,24819.5
82.5,Female,UK,All modes,All undergraduates,Social sciences,Theme 4: Academic support,24808.2
76.2,Female,UK,All modes,All undergraduates,Social sciences,Theme 5: Organisation and management,24807.6
86.7,Female,UK,All modes,All undergraduates,Social sciences,Theme 6: Learning resources,24715.3
71.4,Female,UK,All modes,All undergraduates,Social sciences,Theme 7: Student voice,24619.1
84,Female,UK,All modes,All undergraduates,Law,Theme 1: Teaching on my course,11076.8
78.5,Female,UK,All modes,All undergraduates,Law,Theme 2: Learning opportunities,11076.3
73.1,Female,UK,All modes,All undergraduates,Law,Theme 3: Assessment and feedback,11074.3
79.8,Female,UK,All modes,All undergraduates,Law,Theme 4: Academic support,11061.5
74.4,Female,UK,All modes,All undergraduates,Law,Theme 5: Organisation and management,11068.8
87,Female,UK,All modes,All undergraduates,Law,Theme 6: Learning resources,11003.7
66.6,Female,UK,All modes,All undergraduates,Law,Theme 7: Student voice,10991.8
84.6,Female,UK,All modes,All undergraduates,Business and management,Theme 1: Teaching on my course,25685.9
84.5,Female,UK,All modes,All undergraduates,Business and management,Theme 2: Learning opportunities,25680.4
80.9,Female,UK,All modes,All undergraduates,Business and management,Theme 3: Assessment and feedback,25678.7
85.3,Female,UK,All modes,All undergraduates,Business and management,Theme 4: Academic support,25650.9
81.5,Female,UK,All modes,All undergraduates,Business and management,Theme 5: Organisation and management,25664.7
88.1,Female,UK,All modes,All undergraduates,Business and management,Theme 6: Learning resources,25580.8
76.6,Female,UK,All modes,All undergraduates,Business and management,Theme 7: Student voice,25506.5
90.2,Female,UK,All modes,All undergraduates,Language and area studies,Theme 1: Teaching on my course,8809.1
82.1,Female,UK,All modes,All undergraduates,Language and area studies,Theme 2: Learning opportunities,8808.1
79.5,Female,UK,All modes,All undergraduates,Language and area studies,Theme 3: Assessment and feedback,8810.1
88.6,Female,UK,All modes,All undergraduates,Language and area studies,Theme 4: Academic support,8804.1
77.2,Female,UK,All modes,All undergraduates,Language and area studies,Theme 5: Organisation and management,8807.6
87.5,Female,UK,All modes,All undergraduates,Language and area studies,Theme 6: Learning resources,8761.3
71.4,Female,UK,All modes,All undergraduates,Language and area studies,Theme 7: Student voice,8760.6
91.4,Female,UK,All modes,All undergraduates,"Historical, philosophical and religious studies",Theme 1: Teaching on my course,6365.2
81.9,Female,UK,All modes,All undergraduates,"Historical, philosophical and religious studies",Theme 2: Learning opportunities,6364.9
79.3,Female,UK,All modes,All undergraduates,"Historical, philosophical and religious studies",Theme 3: Assessment and feedback,6362.9
88,Female,UK,All modes,All undergraduates,"Historical, philosophical and religious studies",Theme 4: Academic support,6361.6
77.4,Female,UK,All modes,All undergraduates,"Historical, philosophical and religious studies",Theme 5: Organisation and management,6363.8
88.1,Female,UK,All modes,All undergraduates,"Historical, philosophical and religious studies",Theme 6: Learning resources,6342.7
71.1,Female,UK,All modes,All undergraduates,"Historical, philosophical and religious studies",Theme 7: Student voice,6313.8
86.6,Female,UK,All modes,All undergraduates,Education and teaching,Theme 1: Teaching on my course,9773.6
85.5,Female,UK,All modes,All undergraduates,Education and teaching,Theme 2: Learning opportunities,9772.6
82.9,Female,UK,All modes,All undergraduates,Education and teaching,Theme 3: Assessment and feedback,9772.6
84.8,Female,UK,All modes,All undergraduates,Education and teaching,Theme 4: Academic support,9767.4
75,Female,UK,All modes,All undergraduates,Education and teaching,Theme 5: Organisation and management,9769.6
87.3,Female,UK,All modes,All undergraduates,Education and teaching,Theme 6: Learning resources,9728.4
74.9,Female,UK,All modes,All undergraduates,Education and teaching,Theme 7: Student voice,9709.9
89.4,Female,UK,All modes,All undergraduates,Combined and general studies,Theme 1: Teaching on my course,2254.6
83.8,Female,UK,All modes,All undergraduates,Combined and general studies,Theme 2: Learning opportunities,2251.6
84.6,Female,UK,All modes,All undergraduates,Combined and general studies,Theme 3: Assessment and feedback,2253.6
87.7,Female,UK,All modes,All undergraduates,Combined and general studies,Theme 4: Academic support,2241.8
84.6,Female,UK,All modes,All undergraduates,Combined and general studies,Theme 5: Organisation and management,2247.5
88.2,Female,UK,All modes,All undergraduates,Combined and general studies,Theme 6: Learning resources,2237.3
68.9,Female,UK,All modes,All undergraduates,Combined and general studies,Theme 7: Student voice,2204.2
83.7,Female,UK,All modes,All undergraduates,"Media, journalism and communications",Theme 1: Teaching on my course,3959.2
80.7,Female,UK,All modes,All undergraduates,"Media, journalism and communications",Theme 2: Learning opportunities,3959.2
80,Female,UK,All modes,All undergraduates,"Media, journalism and communications",Theme 3: Assessment and feedback,3958.9
84.7,Female,UK,All modes,All undergraduates,"Media, journalism and communications",Theme 4: Academic support,3956.9
72.9,Female,UK,All modes,All undergraduates,"Media, journalism and communications",Theme 5: Organisation and management,3957.9
86,Female,UK,All modes,All undergraduates,"Media, journalism and communications",Theme 6: Learning resources,3948.1
73,Female,UK,All modes,All undergraduates,"Media, journalism and communications",Theme 7: Student voice,3928.6
84.9,Female,UK,All modes,All undergraduates,"Design, and creative and performing arts",Theme 1: Teaching on my course,22686.9
80.5,Female,UK,All modes,All undergraduates,"Design, and creative and performing arts",Theme 2: Learning opportunities,22683.4
81.3,Female,UK,All modes,All undergraduates,"Design, and creative and performing arts",Theme 3: Assessment and feedback,22682.4
84.9,Female,UK,All modes,All undergraduates,"Design, and creative and performing arts",Theme 4: Academic support,22677.9
67.5,Female,UK,All modes,All undergraduates,"Design, and creative and performing arts",Theme 5: Organisation and management,22669.6
82.5,Female,UK,All modes,All undergraduates,"Design, and creative and performing arts",Theme 6: Learning resources,22619.5
72.9,Female,UK,All modes,All undergraduates,"Design, and creative and performing arts",Theme 7: Student voice,22581.2
88.2,Female,UK,All modes,All undergraduates,"Geography, earth and environmental studies",Theme 1: Teaching on my course,3511.4
83,Female,UK,All modes,All undergraduates,"Geography, earth and environmental studies",Theme 2: Learning opportunities,3511.4
76.5,Female,UK,All modes,All undergraduates,"Geography, earth and environmental studies",Theme 3: Assessment and feedback,3512.4
86.2,Female,UK,All modes,All undergraduates,"Geography, earth and environmental studies",Theme 4: Academic support,3510
79.5,Female,UK,All modes,All undergraduates,"Geography, earth and environmental studies",Theme 5: Organisation and management,3510.4
88.3,Female,UK,All modes,All undergraduates,"Geography, earth and environmental studies",Theme 6: Learning resources,3500.6
72.3,Female,UK,All modes,All undergraduates,"Geography, earth and environmental studies",Theme 7: Student voice,3486.8
85.5,Female,UK,All modes,All undergraduates,All subjects,Theme 1: Teaching on my course,208256
81.8,Female,UK,All modes,All undergraduates,All subjects,Theme 2: Learning opportunities,208239
78,Female,UK,All modes,All undergraduates,All subjects,Theme 3: Assessment and feedback,208223
82.6,Female,UK,All modes,All undergraduates,All subjects,Theme 4: Academic support,208069
72.5,Female,UK,All modes,All undergraduates,All subjects,Theme 5: Organisation and management,208136
86.6,Female,UK,All modes,All undergraduates,All subjects,Theme 6: Learning resources,207372
71.7,Female,UK,All modes,All undergraduates,All subjects,Theme 7: Student voice,206906
87.9,Female,UK,Apprenticeship,All undergraduates,Subjects allied to medicine,Theme 1: Teaching on my course,3347
84.5,Female,UK,Apprenticeship,All undergraduates,Subjects allied to medicine,Theme 2: Learning opportunities,3346
85.3,Female,UK,Apprenticeship,All undergraduates,Subjects allied to medicine,Theme 3: Assessment and feedback,3346
81.5,Female,UK,Apprenticeship,All undergraduates,Subjects allied to medicine,Theme 4: Academic support,3342
63.4,Female,UK,Apprenticeship,All undergraduates,Subjects allied to medicine,Theme 5: Organisation and management,3345
88.6,Female,UK,Apprenticeship,All undergraduates,Subjects allied to medicine,Theme 6: Learning resources,3332
74.2,Female,UK,Apprenticeship,All undergraduates,Subjects allied to medicine,Theme 7: Student voice,3337
82.1,Female,UK,Apprenticeship,All undergraduates,Biological and sport sciences,Theme 1: Teaching on my course,13.5
73.8,Female,UK,Apprenticeship,All undergraduates,Biological and sport sciences,Theme 2: Learning opportunities,13.5
78.8,Female,UK,Apprenticeship,All undergraduates,Biological and sport sciences,Theme 3: Assessment and feedback,13.5
74.1,Female,UK,Apprenticeship,All undergraduates,Biological and sport sciences,Theme 4: Academic support,13.5
69.1,Female,UK,Apprenticeship,All undergraduates,Biological and sport sciences,Theme 5: Organisation and management,13.5
76.1,Female,UK,Apprenticeship,All undergraduates,Biological and sport sciences,Theme 6: Learning resources,13.5
60.5,Female,UK,Apprenticeship,All undergraduates,Biological and sport sciences,Theme 7: Student voice,13.5
88.2,Female,UK,Apprenticeship,All undergraduates,Psychology,Theme 1: Teaching on my course,19
88.4,Female,UK,Apprenticeship,All undergraduates,Psychology,Theme 2: Learning opportunities,19
77.9,Female,UK,Apprenticeship,All undergraduates,Psychology,Theme 3: Assessment and feedback,19
78.9,Female,UK,Apprenticeship,All undergraduates,Psychology,Theme 4: Academic support,19
76.3,Female,UK,Apprenticeship,All undergraduates,Psychology,Theme 5: Organisation and management,19
88.6,Female,UK,Apprenticeship,All undergraduates,Psychology,Theme 6: Learning resources,19
71.9,Female,UK,Apprenticeship,All undergraduates,Psychology,Theme 7: Student voice,19
92.5,Female,UK,Apprenticeship,All undergraduates,"Agriculture, food and related studies",Theme 1: Teaching on my course,13
91.4,Female,UK,Apprenticeship,All undergraduates,"Agriculture, food and related studies",Theme 2: Learning opportunities,13
94.7,Female,UK,Apprenticeship,All undergraduates,"Agriculture, food and related studies",Theme 3: Assessment and feedback,13
95.7,Female,UK,Apprenticeship,All undergraduates,"Agriculture, food and related studies",Theme 4: Academic support,13
94.4,Female,UK,Apprenticeship,All undergraduates,"Agriculture, food and related studies",Theme 5: Organisation and management,13
81.4,Female,UK,Apprenticeship,All undergraduates,"Agriculture, food and related studies",Theme 6: Learning resources,13
88.2,Female,UK,Apprenticeship,All undergraduates,"Agriculture, food and related studies",Theme 7: Student voice,13
79.7,Female,UK,Apprenticeship,All undergraduates,Physical sciences,Theme 1: Teaching on my course,16
70.6,Female,UK,Apprenticeship,All undergraduates,Physical sciences,Theme 2: Learning opportunities,16
75,Female,UK,Apprenticeship,All undergraduates,Physical sciences,Theme 3: Assessment and feedback,16
90.6,Female,UK,Apprenticeship,All undergraduates,Physical sciences,Theme 4: Academic support,16
56.3,Female,UK,Apprenticeship,All undergraduates,Physical sciences,Theme 5: Organisation and management,16
63.5,Female,UK,Apprenticeship,All undergraduates,Physical sciences,Theme 6: Learning resources,16
70.8,Female,UK,Apprenticeship,All undergraduates,Physical sciences,Theme 7: Student voice,16
70.2,Female,UK,Apprenticeship,All undergraduates,Engineering and technology,Theme 1: Teaching on my course,156.2
67.6,Female,UK,Apprenticeship,All undergraduates,Engineering and technology,Theme 2: Learning opportunities,156.2
67.8,Female,UK,Apprenticeship,All undergraduates,Engineering and technology,Theme 3: Assessment and feedback,156.2
77.4,Female,UK,Apprenticeship,All undergraduates,Engineering and technology,Theme 4: Academic support,156.2
49.1,Female,UK,Apprenticeship,All undergraduates,Engineering and technology,Theme 5: Organisation and management,156.2
73.4,Female,UK,Apprenticeship,All undergraduates,Engineering and technology,Theme 6: Learning resources,151.2
58.2,Female,UK,Apprenticeship,All undergraduates,Engineering and technology,Theme 7: Student voice,155.2
78.6,Female,UK,Apprenticeship,All undergraduates,Computing,Theme 1: Teaching on my course,167
73.2,Female,UK,Apprenticeship,All undergraduates,Computing,Theme 2: Learning opportunities,167
74.9,Female,UK,Apprenticeship,All undergraduates,Computing,Theme 3: Assessment and feedback,167
80.6,Female,UK,Apprenticeship,All undergraduates,Computing,Theme 4: Academic support,166
60.5,Female,UK,Apprenticeship,All undergraduates,Computing,Theme 5: Organisation and management,167
85.2,Female,UK,Apprenticeship,All undergraduates,Computing,Theme 6: Learning resources,165
63.8,Female,UK,Apprenticeship,All undergraduates,Computing,Theme 7: Student voice,166
72.1,Female,UK,Apprenticeship,All undergraduates,"Architecture, building and planning",Theme 1: Teaching on my course,189.9
70.6,Female,UK,Apprenticeship,All undergraduates,"Architecture, building and planning",Theme 2: Learning opportunities,189.9
71.4,Female,UK,Apprenticeship,All undergraduates,"Architecture, building and planning",Theme 3: Assessment and feedback,189.9
78.9,Female,UK,Apprenticeship,All undergraduates,"Architecture, building and planning",Theme 4: Academic support,189.9
56.4,Female,UK,Apprenticeship,All undergraduates,"Architecture, building and planning",Theme 5: Organisation and management,189.9
82.8,Female,UK,Apprenticeship,All undergraduates,"Architecture, building and planning",Theme 6: Learning resources,187.9
57.8,Female,UK,Apprenticeship,All undergraduates,"Architecture, building and planning",Theme 7: Student voice,189.9
89.1,Female,UK,Apprenticeship,All undergraduates,Social sciences,Theme 1: Teaching on my course,836.6
86.4,Female,UK,Apprenticeship,All undergraduates,Social sciences,Theme 2: Learning opportunities,836.6
87.5,Female,UK,Apprenticeship,All undergraduates,Social sciences,Theme 3: Assessment and feedback,836.6
88.2,Female,UK,Apprenticeship,All undergraduates,Social sciences,Theme 4: Academic support,835.6
70,Female,UK,Apprenticeship,All undergraduates,Social sciences,Theme 5: Organisation and management,836.6
87.2,Female,UK,Apprenticeship,All undergraduates,Social sciences,Theme 6: Learning resources,829.6
76.4,Female,UK,Apprenticeship,All undergraduates,Social sciences,Theme 7: Student voice,832.6
57.3,Female,UK,Apprenticeship,All undergraduates,Law,Theme 1: Teaching on my course,323
56.4,Female,UK,Apprenticeship,All undergraduates,Law,Theme 2: Learning opportunities,323
63.8,Female,UK,Apprenticeship,All undergraduates,Law,Theme 3: Assessment and feedback,323
70.7,Female,UK,Apprenticeship,All undergraduates,Law,Theme 4: Academic support,322.7
38.4,Female,UK,Apprenticeship,All undergraduates,Law,Theme 5: Organisation and management,323
67.8,Female,UK,Apprenticeship,All undergraduates,Law,Theme 6: Learning resources,310
47.6,Female,UK,Apprenticeship,All undergraduates,Law,Theme 7: Student voice,321
82.9,Female,UK,Apprenticeship,All undergraduates,Business and management,Theme 1: Teaching on my course,680.9
80.7,Female,UK,Apprenticeship,All undergraduates,Business and management,Theme 2: Learning opportunities,680.9
82.2,Female,UK,Apprenticeship,All undergraduates,Business and management,Theme 3: Assessment and feedback,680.9
81.3,Female,UK,Apprenticeship,All undergraduates,Business and management,Theme 4: Academic support,680.5
62.8,Female,UK,Apprenticeship,All undergraduates,Business and management,Theme 5: Organisation and management,680.9
83.6,Female,UK,Apprenticeship,All undergraduates,Business and management,Theme 6: Learning resources,673.9
65.3,Female,UK,Apprenticeship,All undergraduates,Business and management,Theme 7: Student voice,679.9
77.3,Female,UK,Apprenticeship,All undergraduates,Combined and general studies,Theme 1: Teaching on my course,4.9
71.7,Female,UK,Apprenticeship,All undergraduates,Combined and general studies,Theme 2: Learning opportunities,4.9
86.1,Female,UK,Apprenticeship,All undergraduates,Combined and general studies,Theme 3: Assessment and feedback,4.9
88.9,Female,UK,Apprenticeship,All undergraduates,Combined and general studies,Theme 4: Academic support,4.5
58.3,Female,UK,Apprenticeship,All undergraduates,Combined and general studies,Theme 5: Organisation and management,4.9
82.5,Female,UK,Apprenticeship,All undergraduates,Combined and general studies,Theme 6: Learning resources,4.9
70.6,Female,UK,Apprenticeship,All undergraduates,Combined and general studies,Theme 7: Student voice,4.9
84.5,Female,UK,Apprenticeship,All undergraduates,All subjects,Theme 1: Teaching on my course,5787
81.5,Female,UK,Apprenticeship,All undergraduates,All subjects,Theme 2: Learning opportunities,5786
82.8,Female,UK,Apprenticeship,All undergraduates,All subjects,Theme 3: Assessment and feedback,5786
81.7,Female,UK,Apprenticeship,All undergraduates,All subjects,Theme 4: Academic support,5779
62.3,Female,UK,Apprenticeship,All undergraduates,All subjects,Theme 5: Organisation and management,5785
85.9,Female,UK,Apprenticeship,All undergraduates,All subjects,Theme 6: Learning resources,5736
70.7,Female,UK,Apprenticeship,All undergraduates,All subjects,Theme 7: Student voice,5768
86.8,Female,UK,Full-time,All undergraduates,Medicine and dentistry,Theme 1: Teaching on my course,4935.3
81.4,Female,UK,Full-time,All undergraduates,Medicine and dentistry,Theme 2: Learning opportunities,4935.3
67.8,Female,UK,Full-time,All undergraduates,Medicine and dentistry,Theme 3: Assessment and feedback,4935.3
80.1,Female,UK,Full-time,All undergraduates,Medicine and dentistry,Theme 4: Academic support,4925.3
54.9,Female,UK,Full-time,All undergraduates,Medicine and dentistry,Theme 5: Organisation and management,4935.3
84.9,Female,UK,Full-time,All undergraduates,Medicine and dentistry,Theme 6: Learning resources,4908.3
65.7,Female,UK,Full-time,All undergraduates,Medicine and dentistry,Theme 7: Student voice,4910.8
83.2,Female,UK,Full-time,All undergraduates,Subjects allied to medicine,Theme 1: Teaching on my course,35548.8
80.4,Female,UK,Full-time,All undergraduates,Subjects allied to medicine,Theme 2: Learning opportunities,35547.8
74.9,Female,UK,Full-time,All undergraduates,Subjects allied to medicine,Theme 3: Assessment and feedback,35549.8
75.2,Female,UK,Full-time,All undergraduates,Subjects allied to medicine,Theme 4: Academic support,35527.5
60.6,Female,UK,Full-time,All undergraduates,Subjects allied to medicine,Theme 5: Organisation and management,35533.4
86.3,Female,UK,Full-time,All undergraduates,Subjects allied to medicine,Theme 6: Learning resources,35428.1
68.4,Female,UK,Full-time,All undergraduates,Subjects allied to medicine,Theme 7: Student voice,35359.3
87.8,Female,UK,Full-time,All undergraduates,Biological and sport sciences,Theme 1: Teaching on my course,8925
83.6,Female,UK,Full-time,All undergraduates,Biological and sport sciences,Theme 2: Learning opportunities,8923
77,Female,UK,Full-time,All undergraduates,Biological and sport sciences,Theme 3: Assessment and feedback,8923
86,Female,UK,Full-time,All undergraduates,Biological and sport sciences,Theme 4: Academic support,8919.8
79.7,Female,UK,Full-time,All undergraduates,Biological and sport sciences,Theme 5: Organisation and management,8923
87.6,Female,UK,Full-time,All undergraduates,Biological and sport sciences,Theme 6: Learning resources,8886.5
75,Female,UK,Full-time,All undergraduates,Biological and sport sciences,Theme 7: Student voice,8878.6
84.3,Female,UK,Full-time,All undergraduates,Psychology,Theme 1: Teaching on my course,12537.1
79.6,Female,UK,Full-time,All undergraduates,Psychology,Theme 2: Learning opportunities,12537.1
74.3,Female,UK,Full-time,All undergraduates,Psychology,Theme 3: Assessment and feedback,12536.1
80.8,Female,UK,Full-time,All undergraduates,Psychology,Theme 4: Academic support,12528.4
77.3,Female,UK,Full-time,All undergraduates,Psychology,Theme 5: Organisation and management,12533.7
87.7,Female,UK,Full-time,All undergraduates,Psychology,Theme 6: Learning resources,12467.5
73.1,Female,UK,Full-time,All undergraduates,Psychology,Theme 7: Student voice,12484.6
92.4,Female,UK,Full-time,All undergraduates,Veterinary sciences,Theme 1: Teaching on my course,1421
86.8,Female,UK,Full-time,All undergraduates,Veterinary sciences,Theme 2: Learning opportunities,1421
78.1,Female,UK,Full-time,All undergraduates,Veterinary sciences,Theme 3: Assessment and feedback,1421
88.2,Female,UK,Full-time,All undergraduates,Veterinary sciences,Theme 4: Academic support,1421
66.3,Female,UK,Full-time,All undergraduates,Veterinary sciences,Theme 5: Organisation and management,1421
83.4,Female,UK,Full-time,All undergraduates,Veterinary sciences,Theme 6: Learning resources,1419
73.1,Female,UK,Full-time,All undergraduates,Veterinary sciences,Theme 7: Student voice,1417
85.5,Female,UK,Full-time,All undergraduates,"Agriculture, food and related studies",Theme 1: Teaching on my course,1897.3
82,Female,UK,Full-time,All undergraduates,"Agriculture, food and related studies",Theme 2: Learning opportunities,1897.3
79.7,Female,UK,Full-time,All undergraduates,"Agriculture, food and related studies",Theme 3: Assessment and feedback,1897.3
85,Female,UK,Full-time,All undergraduates,"Agriculture, food and related studies",Theme 4: Academic support,1896.3
71.1,Female,UK,Full-time,All undergraduates,"Agriculture, food and related studies",Theme 5: Organisation and management,1896.8
84.7,Female,UK,Full-time,All undergraduates,"Agriculture, food and related studies",Theme 6: Learning resources,1885.3
70.8,Female,UK,Full-time,All undergraduates,"Agriculture, food and related studies",Theme 7: Student voice,1886.2
86.7,Female,UK,Full-time,All undergraduates,Physical sciences,Theme 1: Teaching on my course,3584.3
82.1,Female,UK,Full-time,All undergraduates,Physical sciences,Theme 2: Learning opportunities,3583.3
73.8,Female,UK,Full-time,All undergraduates,Physical sciences,Theme 3: Assessment and feedback,3581.3
86.1,Female,UK,Full-time,All undergraduates,Physical sciences,Theme 4: Academic support,3581.3
