Positvity measure (%),Split,Provider country,Mode of study,Level of study,Subject,Question Number,Responses
73.6,21 to 25,UK,All modes,All undergraduates,Computing,Theme 5: Organisation and management,2182.3
83.3,21 to 25,UK,All modes,All undergraduates,Computing,Theme 6: Learning resources,2170
72.2,21 to 25,UK,All modes,All undergraduates,Computing,Theme 7: Student voice,2158.6
84.5,21 to 25,UK,All modes,All undergraduates,"Architecture, building and planning",Theme 1: Teaching on my course,1066.9
80.4,21 to 25,UK,All modes,All undergraduates,"Architecture, building and planning",Theme 2: Learning opportunities,1067.9
79.6,21 to 25,UK,All modes,All undergraduates,"Architecture, building and planning",Theme 3: Assessment and feedback,1067.9
85.3,21 to 25,UK,All modes,All undergraduates,"Architecture, building and planning",Theme 4: Academic support,1067.9
73.1,21 to 25,UK,All modes,All undergraduates,"Architecture, building and planning",Theme 5: Organisation and management,1067.9
84.1,21 to 25,UK,All modes,All undergraduates,"Architecture, building and planning",Theme 6: Learning resources,1062.4
73.7,21 to 25,UK,All modes,All undergraduates,"Architecture, building and planning",Theme 7: Student voice,1059.4
85.7,21 to 25,UK,All modes,All undergraduates,Social sciences,Theme 1: Teaching on my course,3008
83.3,21 to 25,UK,All modes,All undergraduates,Social sciences,Theme 2: Learning opportunities,3009
81.9,21 to 25,UK,All modes,All undergraduates,Social sciences,Theme 3: Assessment and feedback,3009
83.6,21 to 25,UK,All modes,All undergraduates,Social sciences,Theme 4: Academic support,3005.8
74.3,21 to 25,UK,All modes,All undergraduates,Social sciences,Theme 5: Organisation and management,3005
86.3,21 to 25,UK,All modes,All undergraduates,Social sciences,Theme 6: Learning resources,2995
73.1,21 to 25,UK,All modes,All undergraduates,Social sciences,Theme 7: Student voice,2981.2
80.3,21 to 25,UK,All modes,All undergraduates,Law,Theme 1: Teaching on my course,1549.6
75.7,21 to 25,UK,All modes,All undergraduates,Law,Theme 2: Learning opportunities,1550.6
74.9,21 to 25,UK,All modes,All undergraduates,Law,Theme 3: Assessment and feedback,1549.6
79.4,21 to 25,UK,All modes,All undergraduates,Law,Theme 4: Academic support,1546.1
68.5,21 to 25,UK,All modes,All undergraduates,Law,Theme 5: Organisation and management,1549.1
83,21 to 25,UK,All modes,All undergraduates,Law,Theme 6: Learning resources,1532.3
63.8,21 to 25,UK,All modes,All undergraduates,Law,Theme 7: Student voice,1536.3
85,21 to 25,UK,All modes,All undergraduates,Business and management,Theme 1: Teaching on my course,5874
84.3,21 to 25,UK,All modes,All undergraduates,Business and management,Theme 2: Learning opportunities,5872.3
83.4,21 to 25,UK,All modes,All undergraduates,Business and management,Theme 3: Assessment and feedback,5872.3
85.8,21 to 25,UK,All modes,All undergraduates,Business and management,Theme 4: Academic support,5863.9
81.2,21 to 25,UK,All modes,All undergraduates,Business and management,Theme 5: Organisation and management,5868.3
88.1,21 to 25,UK,All modes,All undergraduates,Business and management,Theme 6: Learning resources,5854.3
78.8,21 to 25,UK,All modes,All undergraduates,Business and management,Theme 7: Student voice,5835
90.3,21 to 25,UK,All modes,All undergraduates,Language and area studies,Theme 1: Teaching on my course,720.1
84.3,21 to 25,UK,All modes,All undergraduates,Language and area studies,Theme 2: Learning opportunities,720.1
84.4,21 to 25,UK,All modes,All undergraduates,Language and area studies,Theme 3: Assessment and feedback,721.1
89.2,21 to 25,UK,All modes,All undergraduates,Language and area studies,Theme 4: Academic support,720.1
79.3,21 to 25,UK,All modes,All undergraduates,Language and area studies,Theme 5: Organisation and management,720.1
86.7,21 to 25,UK,All modes,All undergraduates,Language and area studies,Theme 6: Learning resources,714.6
74.2,21 to 25,UK,All modes,All undergraduates,Language and area studies,Theme 7: Student voice,715.9
91.7,21 to 25,UK,All modes,All undergraduates,"Historical, philosophical and religious studies",Theme 1: Teaching on my course,667.1
85.8,21 to 25,UK,All modes,All undergraduates,"Historical, philosophical and religious studies",Theme 2: Learning opportunities,667.1
85.6,21 to 25,UK,All modes,All undergraduates,"Historical, philosophical and religious studies",Theme 3: Assessment and feedback,666.1
89,21 to 25,UK,All modes,All undergraduates,"Historical, philosophical and religious studies",Theme 4: Academic support,666.1
82.7,21 to 25,UK,All modes,All undergraduates,"Historical, philosophical and religious studies",Theme 5: Organisation and management,666.9
88,21 to 25,UK,All modes,All undergraduates,"Historical, philosophical and religious studies",Theme 6: Learning resources,662.8
76,21 to 25,UK,All modes,All undergraduates,"Historical, philosophical and religious studies",Theme 7: Student voice,657.8
87.5,21 to 25,UK,All modes,All undergraduates,Education and teaching,Theme 1: Teaching on my course,1507.9
86.5,21 to 25,UK,All modes,All undergraduates,Education and teaching,Theme 2: Learning opportunities,1506.9
86.1,21 to 25,UK,All modes,All undergraduates,Education and teaching,Theme 3: Assessment and feedback,1507.9
87.2,21 to 25,UK,All modes,All undergraduates,Education and teaching,Theme 4: Academic support,1504.9
75.4,21 to 25,UK,All modes,All undergraduates,Education and teaching,Theme 5: Organisation and management,1505.9
87.8,21 to 25,UK,All modes,All undergraduates,Education and teaching,Theme 6: Learning resources,1501.9
75.6,21 to 25,UK,All modes,All undergraduates,Education and teaching,Theme 7: Student voice,1496.6
83.4,21 to 25,UK,All modes,All undergraduates,"Media, journalism and communications",Theme 1: Teaching on my course,638.2
80,21 to 25,UK,All modes,All undergraduates,"Media, journalism and communications",Theme 2: Learning opportunities,637.9
81.9,21 to 25,UK,All modes,All undergraduates,"Media, journalism and communications",Theme 3: Assessment and feedback,637.9
86.6,21 to 25,UK,All modes,All undergraduates,"Media, journalism and communications",Theme 4: Academic support,637.9
71.9,21 to 25,UK,All modes,All undergraduates,"Media, journalism and communications",Theme 5: Organisation and management,636.9
85.7,21 to 25,UK,All modes,All undergraduates,"Media, journalism and communications",Theme 6: Learning resources,638.2
73.5,21 to 25,UK,All modes,All undergraduates,"Media, journalism and communications",Theme 7: Student voice,636.4
83.8,21 to 25,UK,All modes,All undergraduates,"Design, and creative and performing arts",Theme 1: Teaching on my course,3986.4
79.8,21 to 25,UK,All modes,All undergraduates,"Design, and creative and performing arts",Theme 2: Learning opportunities,3986.4
81.4,21 to 25,UK,All modes,All undergraduates,"Design, and creative and performing arts",Theme 3: Assessment and feedback,3985.4
84.3,21 to 25,UK,All modes,All undergraduates,"Design, and creative and performing arts",Theme 4: Academic support,3985.4
66.9,21 to 25,UK,All modes,All undergraduates,"Design, and creative and performing arts",Theme 5: Organisation and management,3980.6
80.1,21 to 25,UK,All modes,All undergraduates,"Design, and creative and performing arts",Theme 6: Learning resources,3977.9
73.5,21 to 25,UK,All modes,All undergraduates,"Design, and creative and performing arts",Theme 7: Student voice,3972.6
90.1,21 to 25,UK,All modes,All undergraduates,"Geography, earth and environmental studies",Theme 1: Teaching on my course,276.8
85.9,21 to 25,UK,All modes,All undergraduates,"Geography, earth and environmental studies",Theme 2: Learning opportunities,276.8
84.3,21 to 25,UK,All modes,All undergraduates,"Geography, earth and environmental studies",Theme 3: Assessment and feedback,276.8
89.8,21 to 25,UK,All modes,All undergraduates,"Geography, earth and environmental studies",Theme 4: Academic support,276.8
79.5,21 to 25,UK,All modes,All undergraduates,"Geography, earth and environmental studies",Theme 5: Organisation and management,275.8
87.2,21 to 25,UK,All modes,All undergraduates,"Geography, earth and environmental studies",Theme 6: Learning resources,274.8
75,21 to 25,UK,All modes,All undergraduates,"Geography, earth and environmental studies",Theme 7: Student voice,271.8
84.2,21 to 25,UK,All modes,All undergraduates,All subjects,Theme 1: Teaching on my course,36503
80.8,21 to 25,UK,All modes,All undergraduates,All subjects,Theme 2: Learning opportunities,36504
79.6,21 to 25,UK,All modes,All undergraduates,All subjects,Theme 3: Assessment and feedback,36503
82.5,21 to 25,UK,All modes,All undergraduates,All subjects,Theme 4: Academic support,36457
70.3,21 to 25,UK,All modes,All undergraduates,All subjects,Theme 5: Organisation and management,36476
85,21 to 25,UK,All modes,All undergraduates,All subjects,Theme 6: Learning resources,36346
71.9,21 to 25,UK,All modes,All undergraduates,All subjects,Theme 7: Student voice,36239
83.9,21 to 25,UK,Apprenticeship,All undergraduates,Subjects allied to medicine,Theme 1: Teaching on my course,710.3
80.2,21 to 25,UK,Apprenticeship,All undergraduates,Subjects allied to medicine,Theme 2: Learning opportunities,709.3
82.4,21 to 25,UK,Apprenticeship,All undergraduates,Subjects allied to medicine,Theme 3: Assessment and feedback,709.3
80.5,21 to 25,UK,Apprenticeship,All undergraduates,Subjects allied to medicine,Theme 4: Academic support,708.3
56.2,21 to 25,UK,Apprenticeship,All undergraduates,Subjects allied to medicine,Theme 5: Organisation and management,709.3
86.7,21 to 25,UK,Apprenticeship,All undergraduates,Subjects allied to medicine,Theme 6: Learning resources,705.3
71.7,21 to 25,UK,Apprenticeship,All undergraduates,Subjects allied to medicine,Theme 7: Student voice,705.3
76.1,21 to 25,UK,Apprenticeship,All undergraduates,Engineering and technology,Theme 1: Teaching on my course,232
68.8,21 to 25,UK,Apprenticeship,All undergraduates,Engineering and technology,Theme 2: Learning opportunities,232
73.2,21 to 25,UK,Apprenticeship,All undergraduates,Engineering and technology,Theme 3: Assessment and feedback,232
82.9,21 to 25,UK,Apprenticeship,All undergraduates,Engineering and technology,Theme 4: Academic support,232
53.7,21 to 25,UK,Apprenticeship,All undergraduates,Engineering and technology,Theme 5: Organisation and management,232
74,21 to 25,UK,Apprenticeship,All undergraduates,Engineering and technology,Theme 6: Learning resources,229
60.8,21 to 25,UK,Apprenticeship,All undergraduates,Engineering and technology,Theme 7: Student voice,230
80.1,21 to 25,UK,Apprenticeship,All undergraduates,Computing,Theme 1: Teaching on my course,126.2
73.8,21 to 25,UK,Apprenticeship,All undergraduates,Computing,Theme 2: Learning opportunities,126.2
75.5,21 to 25,UK,Apprenticeship,All undergraduates,Computing,Theme 3: Assessment and feedback,125.2
83.5,21 to 25,UK,Apprenticeship,All undergraduates,Computing,Theme 4: Academic support,124.2
64.4,21 to 25,UK,Apprenticeship,All undergraduates,Computing,Theme 5: Organisation and management,125.2
77.7,21 to 25,UK,Apprenticeship,All undergraduates,Computing,Theme 6: Learning resources,123.2
67.8,21 to 25,UK,Apprenticeship,All undergraduates,Computing,Theme 7: Student voice,125.2
78.2,21 to 25,UK,Apprenticeship,All undergraduates,"Architecture, building and planning",Theme 1: Teaching on my course,239.3
74.6,21 to 25,UK,Apprenticeship,All undergraduates,"Architecture, building and planning",Theme 2: Learning opportunities,239.3
74.2,21 to 25,UK,Apprenticeship,All undergraduates,"Architecture, building and planning",Theme 3: Assessment and feedback,239.3
78.9,21 to 25,UK,Apprenticeship,All undergraduates,"Architecture, building and planning",Theme 4: Academic support,239.3
65.3,21 to 25,UK,Apprenticeship,All undergraduates,"Architecture, building and planning",Theme 5: Organisation and management,239.3
83.7,21 to 25,UK,Apprenticeship,All undergraduates,"Architecture, building and planning",Theme 6: Learning resources,237.3
67.6,21 to 25,UK,Apprenticeship,All undergraduates,"Architecture, building and planning",Theme 7: Student voice,237.3
76.8,21 to 25,UK,Apprenticeship,All undergraduates,Social sciences,Theme 1: Teaching on my course,173.2
74.6,21 to 25,UK,Apprenticeship,All undergraduates,Social sciences,Theme 2: Learning opportunities,173.2
77,21 to 25,UK,Apprenticeship,All undergraduates,Social sciences,Theme 3: Assessment and feedback,173.2
85.3,21 to 25,UK,Apprenticeship,All undergraduates,Social sciences,Theme 4: Academic support,172.2
55.9,21 to 25,UK,Apprenticeship,All undergraduates,Social sciences,Theme 5: Organisation and management,173.2
84.3,21 to 25,UK,Apprenticeship,All undergraduates,Social sciences,Theme 6: Learning resources,169.2
62.2,21 to 25,UK,Apprenticeship,All undergraduates,Social sciences,Theme 7: Student voice,172.2
54.6,21 to 25,UK,Apprenticeship,All undergraduates,Law,Theme 1: Teaching on my course,289.7
54.1,21 to 25,UK,Apprenticeship,All undergraduates,Law,Theme 2: Learning opportunities,289.7
65.5,21 to 25,UK,Apprenticeship,All undergraduates,Law,Theme 3: Assessment and feedback,289.7
71.8,21 to 25,UK,Apprenticeship,All undergraduates,Law,Theme 4: Academic support,288.7
40.7,21 to 25,UK,Apprenticeship,All undergraduates,Law,Theme 5: Organisation and management,289.7
67.7,21 to 25,UK,Apprenticeship,All undergraduates,Law,Theme 6: Learning resources,281.7
46.9,21 to 25,UK,Apprenticeship,All undergraduates,Law,Theme 7: Student voice,286.7
83.3,21 to 25,UK,Apprenticeship,All undergraduates,Business and management,Theme 1: Teaching on my course,199.6
81.8,21 to 25,UK,Apprenticeship,All undergraduates,Business and management,Theme 2: Learning opportunities,199.6
83,21 to 25,UK,Apprenticeship,All undergraduates,Business and management,Theme 3: Assessment and feedback,199.6
82.3,21 to 25,UK,Apprenticeship,All undergraduates,Business and management,Theme 4: Academic support,199.6
59.6,21 to 25,UK,Apprenticeship,All undergraduates,Business and management,Theme 5: Organisation and management,199.6
85.4,21 to 25,UK,Apprenticeship,All undergraduates,Business and management,Theme 6: Learning resources,198.6
64.3,21 to 25,UK,Apprenticeship,All undergraduates,Business and management,Theme 7: Student voice,197.6
75.6,21 to 25,UK,Apprenticeship,All undergraduates,Combined and general studies,Theme 1: Teaching on my course,2.7
70.7,21 to 25,UK,Apprenticeship,All undergraduates,Combined and general studies,Theme 2: Learning opportunities,2.7
88.7,21 to 25,UK,Apprenticeship,All undergraduates,Combined and general studies,Theme 3: Assessment and feedback,2.7
92.2,21 to 25,UK,Apprenticeship,All undergraduates,Combined and general studies,Theme 4: Academic support,2.7
39.4,21 to 25,UK,Apprenticeship,All undergraduates,Combined and general studies,Theme 5: Organisation and management,2.7
77,21 to 25,UK,Apprenticeship,All undergraduates,Combined and general studies,Theme 6: Learning resources,2.7
71.5,21 to 25,UK,Apprenticeship,All undergraduates,Combined and general studies,Theme 7: Student voice,2.7
77.3,21 to 25,UK,Apprenticeship,All undergraduates,All subjects,Theme 1: Teaching on my course,2000
73.7,21 to 25,UK,Apprenticeship,All undergraduates,All subjects,Theme 2: Learning opportunities,1999
77.1,21 to 25,UK,Apprenticeship,All undergraduates,All subjects,Theme 3: Assessment and feedback,1998
80.2,21 to 25,UK,Apprenticeship,All undergraduates,All subjects,Theme 4: Academic support,1994
55.9,21 to 25,UK,Apprenticeship,All undergraduates,All subjects,Theme 5: Organisation and management,1998
81.1,21 to 25,UK,Apprenticeship,All undergraduates,All subjects,Theme 6: Learning resources,1974
64.5,21 to 25,UK,Apprenticeship,All undergraduates,All subjects,Theme 7: Student voice,1984
84.6,21 to 25,UK,Full-time,All undergraduates,Medicine and dentistry,Theme 1: Teaching on my course,1585.2
79.5,21 to 25,UK,Full-time,All undergraduates,Medicine and dentistry,Theme 2: Learning opportunities,1585.2
67.8,21 to 25,UK,Full-time,All undergraduates,Medicine and dentistry,Theme 3: Assessment and feedback,1585.2
80.4,21 to 25,UK,Full-time,All undergraduates,Medicine and dentistry,Theme 4: Academic support,1579.2
54.2,21 to 25,UK,Full-time,All undergraduates,Medicine and dentistry,Theme 5: Organisation and management,1585.2
81.5,21 to 25,UK,Full-time,All undergraduates,Medicine and dentistry,Theme 6: Learning resources,1580.2
64.9,21 to 25,UK,Full-time,All undergraduates,Medicine and dentistry,Theme 7: Student voice,1581.2
80.5,21 to 25,UK,Full-time,All undergraduates,Subjects allied to medicine,Theme 1: Teaching on my course,5807.8
77.5,21 to 25,UK,Full-time,All undergraduates,Subjects allied to medicine,Theme 2: Learning opportunities,5808.8
73.6,21 to 25,UK,Full-time,All undergraduates,Subjects allied to medicine,Theme 3: Assessment and feedback,5808.8
72.7,21 to 25,UK,Full-time,All undergraduates,Subjects allied to medicine,Theme 4: Academic support,5805.8
54,21 to 25,UK,Full-time,All undergraduates,Subjects allied to medicine,Theme 5: Organisation and management,5807.8
84.9,21 to 25,UK,Full-time,All undergraduates,Subjects allied to medicine,Theme 6: Learning resources,5786.8
65.8,21 to 25,UK,Full-time,All undergraduates,Subjects allied to medicine,Theme 7: Student voice,5775.1
88.3,21 to 25,UK,Full-time,All undergraduates,Biological and sport sciences,Theme 1: Teaching on my course,1205.6
82.6,21 to 25,UK,Full-time,All undergraduates,Biological and sport sciences,Theme 2: Learning opportunities,1205.6
81.9,21 to 25,UK,Full-time,All undergraduates,Biological and sport sciences,Theme 3: Assessment and feedback,1205.6
85.7,21 to 25,UK,Full-time,All undergraduates,Biological and sport sciences,Theme 4: Academic support,1204.6
77.8,21 to 25,UK,Full-time,All undergraduates,Biological and sport sciences,Theme 5: Organisation and management,1204.6
86,21 to 25,UK,Full-time,All undergraduates,Biological and sport sciences,Theme 6: Learning resources,1199.6
76.5,21 to 25,UK,Full-time,All undergraduates,Biological and sport sciences,Theme 7: Student voice,1195.3
85,21 to 25,UK,Full-time,All undergraduates,Psychology,Theme 1: Teaching on my course,1106.5
79.7,21 to 25,UK,Full-time,All undergraduates,Psychology,Theme 2: Learning opportunities,1106.5
78.5,21 to 25,UK,Full-time,All undergraduates,Psychology,Theme 3: Assessment and feedback,1106.5
81,21 to 25,UK,Full-time,All undergraduates,Psychology,Theme 4: Academic support,1105.5
75.1,21 to 25,UK,Full-time,All undergraduates,Psychology,Theme 5: Organisation and management,1105.5
86.8,21 to 25,UK,Full-time,All undergraduates,Psychology,Theme 6: Learning resources,1095.3
74.4,21 to 25,UK,Full-time,All undergraduates,Psychology,Theme 7: Student voice,1098.5
88.9,21 to 25,UK,Full-time,All undergraduates,Veterinary sciences,Theme 1: Teaching on my course,381.9
81.7,21 to 25,UK,Full-time,All undergraduates,Veterinary sciences,Theme 2: Learning opportunities,381.9
71.8,21 to 25,UK,Full-time,All undergraduates,Veterinary sciences,Theme 3: Assessment and feedback,381.9
84.2,21 to 25,UK,Full-time,All undergraduates,Veterinary sciences,Theme 4: Academic support,381.9
56.9,21 to 25,UK,Full-time,All undergraduates,Veterinary sciences,Theme 5: Organisation and management,381.9
78.4,21 to 25,UK,Full-time,All undergraduates,Veterinary sciences,Theme 6: Learning resources,381.9
66.2,21 to 25,UK,Full-time,All undergraduates,Veterinary sciences,Theme 7: Student voice,378.9
85.2,21 to 25,UK,Full-time,All undergraduates,"Agriculture, food and related studies",Theme 1: Teaching on my course,294.4
80.1,21 to 25,UK,Full-time,All undergraduates,"Agriculture, food and related studies",Theme 2: Learning opportunities,294.4
80.3,21 to 25,UK,Full-time,All undergraduates,"Agriculture, food and related studies",Theme 3: Assessment and feedback,294.4
83.7,21 to 25,UK,Full-time,All undergraduates,"Agriculture, food and related studies",Theme 4: Academic support,293.4
68.5,21 to 25,UK,Full-time,All undergraduates,"Agriculture, food and related studies",Theme 5: Organisation and management,294.4
81.9,21 to 25,UK,Full-time,All undergraduates,"Agriculture, food and related studies",Theme 6: Learning resources,293.4
70.1,21 to 25,UK,Full-time,All undergraduates,"Agriculture, food and related studies",Theme 7: Student voice,294.4
85.8,21 to 25,UK,Full-time,All undergraduates,Physical sciences,Theme 1: Teaching on my course,257.7
82.5,21 to 25,UK,Full-time,All undergraduates,Physical sciences,Theme 2: Learning opportunities,257.7
79.3,21 to 25,UK,Full-time,All undergraduates,Physical sciences,Theme 3: Assessment and feedback,257.7
86,21 to 25,UK,Full-time,All undergraduates,Physical sciences,Theme 4: Academic support,257.7
74.2,21 to 25,UK,Full-time,All undergraduates,Physical sciences,Theme 5: Organisation and management,257.7
86,21 to 25,UK,Full-time,All undergraduates,Physical sciences,Theme 6: Learning resources,257.7
74.8,21 to 25,UK,Full-time,All undergraduates,Physical sciences,Theme 7: Student voice,255.7
84.2,21 to 25,UK,Full-time,All undergraduates,Mathematical sciences,Theme 1: Teaching on my course,180.2
81.5,21 to 25,UK,Full-time,All undergraduates,Mathematical sciences,Theme 2: Learning opportunities,180.2
81.2,21 to 25,UK,Full-time,All undergraduates,Mathematical sciences,Theme 3: Assessment and feedback,180.2
90.4,21 to 25,UK,Full-time,All undergraduates,Mathematical sciences,Theme 4: Academic support,180.2
82.7,21 to 25,UK,Full-time,All undergraduates,Mathematical sciences,Theme 5: Organisation and management,180.2
89.3,21 to 25,UK,Full-time,All undergraduates,Mathematical sciences,Theme 6: Learning resources,180.2
78.9,21 to 25,UK,Full-time,All undergraduates,Mathematical sciences,Theme 7: Student voice,179.6
82.5,21 to 25,UK,Full-time,All undergraduates,Engineering and technology,Theme 1: Teaching on my course,1372.3
80.3,21 to 25,UK,Full-time,All undergraduates,Engineering and technology,Theme 2: Learning opportunities,1372.3
76.5,21 to 25,UK,Full-time,All undergraduates,Engineering and technology,Theme 3: Assessment and feedback,1372.3
84.4,21 to 25,UK,Full-time,All undergraduates,Engineering and technology,Theme 4: Academic support,1372.3
75.4,21 to 25,UK,Full-time,All undergraduates,Engineering and technology,Theme 5: Organisation and management,1372.3
85.3,21 to 25,UK,Full-time,All undergraduates,Engineering and technology,Theme 6: Learning resources,1369.8
73.5,21 to 25,UK,Full-time,All undergraduates,Engineering and technology,Theme 7: Student voice,1363.8
81.1,21 to 25,UK,Full-time,All undergraduates,Computing,Theme 1: Teaching on my course,1764.8
77.1,21 to 25,UK,Full-time,All undergraduates,Computing,Theme 2: Learning opportunities,1763.8
78.5,21 to 25,UK,Full-time,All undergraduates,Computing,Theme 3: Assessment and feedback,1762.8
